"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"29","report","cause","even","infect","acute","wildlife","publish","research","branch","task","wash","supplier","hair","become","degree","american","reduce","family","interaction","require","precaution","maintain","can","seat","keep","conspiracy","building","camp","moore","place","area","wave","situation","citizen","will","customer","indoor","authority","regional","limit","boris","service","capacity","prime","dec","outdoor","outside","england","peak","rule","school","comment","rate","local","stay","strategy","foot","distance","require","los","say","distance","hybrid","reopen","able","bubble","still","social","ease","seat","announce","new","dose","indoor","potential","confirm","yet","five","form"
"30","acute","death","outbreak","suggest","novel","epidemic","influenza","body","matt","respirator","sick","hire","mandatory","temperature","mandatory","capacity","public","long","adult","flight","mandatory","recommend","spread","local","guidance","please","cotton","model","phoenix","fine","issue","jordan","compliance","local","table","visit","reopen","must","place","friday","home","nationwide","new","move","northern","ban","lift","rule","household","wale","johnson","education","korea","ski","gathering","community","swiss","human","county","union","teacher","require","secondary","people","plan","start","restaurant","entertainment","business","scholarship","negative","prevention","july","million","can","countrys","two","angeles","additionally"
"31","week","factor","doctor","research","december","threat","similar","argument","charge","issue","responder","ride","drink","wash","isolate","space","terminal","airborne","guideline","person","small","county","safety","eat","term","place","congressman","highlight","design","crowd","governor","rail","police","party","gove","ban","city","medium","area","open","rule","curfew","service","bar","ban","require","start","start","decision","case","announce","must","grade","pm","five","march","less","return","open","limit","state","indoor","march","offer","outside","student","student","cuomo","distance","new","setting","public","now","lift","mask","describe","fda","conference","attorney"
"32","like","patient","bad","diagnosis","virus","read","journal","whitty","supreme","health","disease","bus","must","counter","ticket","service","wolf","universal","flight","adult","disneyland","mandate","wash","announce","social","dc","jha","encourage","indoor","business","havana","ukraine","tuesday","friday","must","limit","per","wave","uk","strict","december","closure","curfew","weekend","space","business","government","impose","event","nation","online","effect","offit","venue","strict","mitigation","venue","identify","start","return","progress","can","may","contact","capacity","subject","monday","bowser","indoor","home","sign","less","fully","hogan","variant","face","courtesy","resident","boyfriend"
"33","epidemic","cctv","likely","nine","infect","danger","likely","severe","uks","cloth","use","order","circumstance","procedure","qatar","use","main","person","service","personal","hard","room","monroe","anyone","close","rule","encourage","requirement","house","building","intellectual","persichilli","capacity","indoor","monday","council","case","close","ban","start","curfew","face","household","start","move","county","announce","prime","lockdown","close","face","period","test","put","province","case","live","open","must","person","keep","fall","france","condition","must","end","governor","maryland","may","permit","limit","eligible","immediately","negative","australian","issue","tell","prevention","schmitt"
"34","peak","numb","big","coronavirus","however","ban","widespread","infection","may","center","may","weather","minute","flag","detainee","surgical","sanitize","member","check","contact","fall","help","resident","people","way","use","mouth","droplet","intend","enforcement","zapata","castex","requirement","business","tuesday","difficult","place","monday","limit","emergency","midnight","red","expect","expect","police","private","business","january","crowd","ireland","order","surge","home","sunday","remain","essential","lift","mask","provide","gym","sport","period","indoor","encourage","question","social","require","curfew","require","increase","news","vaccinate","capacity","real","class","monday","guidance","safe","new"
"35","new","globally","nearly","fatality","kill","syndrome","full","group","young","control","center","stay","hotel","client","use","lebanese","page","fly","use","way","family","important","make","stay","go","clear","airplane","safety","window","covering","cover","havana","add","warn","seat","will","news","outdoor","must","france","death","reopen","case","local","serve","order","tier","can","strict","limit","variant","stress","class","billion","grade","pm","seven","agency","many","area","mental","angeles","public","allow","social","activity","include","number","venue","people","win","announce","policy","hopkins","clear","program","rare","apply","retail"
"36","year","also","mother","common","severe","likely","infection","funeral","professor","fear","essential","people","body","nose","onto","measure","aviation","relatively","recommendation","safety","offer","kid","place","mcmaster","previously","store","barr","foot","strain","rule","disability","restart","wash","kurz","speech","household","service","ban","service","chancellor","period","open","reopen","operate","household","face","number","period","allow","national","recent","country","level","low","relax","activity","phase","accord","restriction","dine","decline","child","allow","various","provide","distance","news","infection","implement","require","beshear","people","end","care","confirm","seek","follow","expert","admission"
"37","appear","december","call","journal","read","important","severe","claim","distance","spread","especially","severe","use","jet","cover","disinfect","aircraft","mission","safety","recommend","air","cdc","seat","foot","transport","reduce","customer","december","drive","safety","september","limit","make","park","meet","follow","ease","gathering","pub","national","orange","gathering","three","place","close","inslee","costa","shop","impose","order","close","currently","college","travel","pm","gathering","open","cdc","arrival","learn","county","return","friday","attendee","fan","bar","extend","require","open","limit","statewide","long","vaccinate","one","easily","six","pfizerbiontech","plan","schedule"
"38","january","delay","give","disinfect","colleague","whether","even","global","sign","healthcare","infect","transmission","begin","union","dubai","shelter","must","travel","area","shield","tweet","people","holiday","establishment","walk","lift","lópez","issue","daily","maintain","indoor","introduce","train","fine","government","allow","berlin","move","burnham","remain","red","register","prime","england","limit","gym","holiday","edwards","holiday","northern","despite","area","long","religious","austria","recommend","situation","high","chicago","implement","national","activity","propose","interior","foot","must","without","positivity","today","vaccination","enter","guidance","release","campaign","end","joint","necessary","expect","site"
