"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"17","bed","medical","patient","gear","authority","eu","prime","worker","france","nationwide","russia","city","ban","chinese","marine","home","full","domestic","outside","post","keep","francis","drive","party","safety","supplemental","report","poison","charge","november","concert","milwaukee","donald","know","withdraw","misinformation","people","criterion","vice","mask","post","watch","chuck","yau","happen","singapore","air","sign","olympic","will","effect","uk","classroom","grassman","reopen","red","return","stay","federal","economy","need","billion","american","house","vaccination","end","tournament","campus","play","bill","incentive","rate","male","leisure","activate","account","much","state","requirement"
"18","video","go","wait","exposure","codogno","hospital","italys","prime","nationwide","delhi","home","russia","violence","protest","flock","will","holiday","return","restriction","bus","precaution","exposure","attend","symptom","movement","japan","admit","journal","significantly","presidential","gel","marie","downplay","white","donald","nation","tell","physician","recommendation","end","break","story","blunt","case","seat","etienne","ministry","russias","latin","mexican","fall","taste","safely","tsa","traveler","consider","distance","nearly","island","education","staff","community","fully","age","every","infection","las","class","bowser","every","return","th","fair","payment","actively","across","country","american","white"
"19","food","medium","worker","italian","press","seven","pope","activity","pedro","pradesh","nationwide","southern","impose","ban","issue","start","disaster","resume","photograph","foot","annual","many","harpers","neighborhood","disney","twitter","video","sample","kentucky","campaign","specific","orchestra","father","cnns","spread","donald","million","isolation","washington","candy","call","lose","positive","son","primary","arrival","suspension","cough","duty","curfew","child","advice","loss","train","safely","high","physical","expect","childcare","return","progress","fund","college","elderly","decline","community","morgue","learn","utah","mayor","also","point","management","row","acute","act","wednesday","announcement","authority"
"20","chinese","face","staff","deliver","rome","serie","civil","will","putin","narendra","funeral","citizen","fear","holiday","flight","train","wind","still","avoid","easy","protection","family","vail","association","station","budget","personnel","low","october","cast","trump","philharmonic","supporter","february","response","gavi","need","rally","minute","positive","palace","read","president","republican","class","suspect","employer","test","spa","france","lose","attend","college","spokesperson","wear","prevention","control","white","month","desantis","get","us","remote","hispanic","school","minister","towards","tam","mask","employer","every","every","therapy","bangladesh","add","action","island","announce","ban"
"21","team","empty","go","notice","european","red","entire","televise","modi","country","lift","leave","african","march","laborer","city","save","facility","pony","remind","read","take","indicator","broadway","live","delay","increase","google","datum","story","chance","trump","rage","event","address","hear","read","cdc","positive","hand","williams","positive","poll","jr","promote","collection","availability","resident","prince","bar","act","key","face","passenger","person","strategy","student","less","serve","file","help","state","grade","vaccination","highlight","rate","zealands","income","verify","miamidade","various","come","asymptomatic","speranza","additional","activate","bring","attest","bidens"
"22","healthcare","treat","deliver","tuesday","stop","louvre","body","say","government","countrys","authority","putin","district","welfare","school","saudi","shelter","strict","face","sense","picture","digital","june","june","vulnerability","execution","base","people","primary","change","account","contain","urquiza","away","death","appear","house","schedule","back","victim","attack","hand","story","trump","major","experience","registration","air","count","fight","corp","pause","staff","near","knot","control","five","angeles","inslee","classroom","summit","secretary","hybrid","puerto","power","castex","fall","dance","fitness","blasio","say","tell","help","covid","address","actively","young","vaccinate","care"
"23","social","buy","phone","buy","guest","french","protection","service","russia","slum","doctor","maharashtra","introduce","kerala","student","strand","ramadan","month","sunday","risk","address","equipment","movement","crowd","last","official","case","primary","box","initiative","sanitizer","interest","woodwards","hall","white","bb","white","diagnostic","specialist","word","johnsons","employee","bill","member","individual","government","flight","arrival","north","place","revenue","food","transmission","enforcement","prevention","person","facility","class","dine","system","teacher","announce","return","grade","nfl","agency","return","place","year","fall","begin","long","substantial","face","adhanom","acute","nevada","weekly","proof"
"24","protective","get","video","frustration","red","close","prison","credit","lombardy","uttar","veran","church","central","body","shoot","urban","landfall","saudi","urge","angeles","friend","term","community","veto","test","develop","april","march","chen","letter","participant","condition","always","wear","respond","mauris","cnn","leave","senator","round","message","night","big","development","ahead","emirate","resume","country","pilot","production","budget","nhs","back","flight","transportation","standard","rate","define","grade","help","india","staff","survey","baseball","upper","spahn","house","limit","june","york","friday","july","particularly","recover","administration","add","cuban","contractor","save"
"25","wear","stretch","look","hawaii","positive","borrelli","husband","vatican","televise","televise","bunny","minister","quarantine","domestic","immigrant","prohibit","west","pradesh","scientific","home","election","nurse","say","pub","family","senior","mail","worker","inform","donate","claim","trip","panic","think","house","weapon","failure","twitter","debate","supreme","comment","test","cnn","statement","room","positive","airline","moscow","chicago","american","property","professional","person","immigration","walensky","county","case","locate","student","private","available","lead","march","pandemic","old","seven","campaign","require","dc","two","next","chicago","now","combine","administrative","additional","ventilator","similar","life"
"26","show","wait","production","many","angelo","tradition","obrien","person","factory","service","indigenous","lockdowns","maharashtra","state","worker","route","life","prince","meter","worker","look","like","production","command","local","corp","cast","pandemic","race","kansas","vote","sweden","create","didnt","tuesday","policy","request","memo","cancer","expense","news","democrat","focus","chuang","contact","commissioner","december","positive","expand","equipment","fiscal","transmission","belgium","cdc","learn","astm","staff","exposure","pregnant","fenton","open","control","community","confidence","accelerate","partially","germanys","date","similar","recognize","anyone","decade","student","confirm","admit","address","pandemic","mat","include"
"27","tell","provide","chinese","food","gallera","italys","school","emmanuel","conte","shelter","spread","indias","comment","train","cafe","turkish","evacuation","dubai","crowd","sunday","story","ppe","michigan","attend","call","conspiracy","launch","source","free","emergency","cnn","doctor","watch","make","hurt","middle","email","advance","joe","announce","hungarian","meadow","floor","gimenez","saturday","flu","davis","regular","brown","resume","keep","role","frederiksen","rule","block","analysis","center","fan","center","implement","keep","datum","datum","step","spahn","example","remote","prepare","move","able","bus","must","large","income","advice","adhanom","across","healthcare","federal"
"28","go","suit","time","alone","agency","england","francis","rome","delhi","people","refugee","woman","capital","indonesia","restriction","ticket","mall","migrant","time","place","party","poll","event","emergency","people","infrastructure","operation","prevention","become","charge","however","forum","february","town","thing","determine","mike","speech","nominee","eat","march","selfquarantining","charlie","back","two","authorize","ongoing","foreign","former","nebraska","epidemic","weekend","reference","enforce","mitigation","live","child","brazils","home","also","mental","learn","white","department","coronavirus","brazil","office","production","leave","county","chicago","student","follow","hopkins","advise","administration","people","source","government"
"29","store","everyone","use","chinese","border","zone","giuseppe","essential","measure","conte","pope","fear","relaxation","family","site","hour","complicate","start","significant","arabia","long","los","several","federal","several","hidalgo","risk","minority","board","alabama","drop","nurse","remove","spread","rally","mislead","california","recommendation","kamala","pull","test","cnn","contact","spokesperson","delay","food","agreement","complete","assist","brown","dollar","rollout","enrollment","control","improve","risk","recommend","baseball","everyone","outdoor","toward","undergo","support","condition","person","lockdown","cancel","customer","city","information","district","protocol","death","save","adviser","administrative","though","remark","weekly"
"30","people","post","difficult","use","situation","sport","put","exception","worker","putin","ardern","delhi","council","camera","bangladesh","ministry","start","faith","review","strand","effort","agency","honduran","tell","detect","uscis","widespread","cook","prevention","opposition","full","tell","away","book","border","administration","leave","infectious","fight","bromage","foreign","full","member","party","link","sample","minister","carrier","release","immigrant","partnership","england","payment","letter","strategy","center","symptom","stringent","biden","relief","district","push","main","new","central","across","robert","back","california","online","east","tough","study","yet","advisory","admit","relate","administration","country"
"31","put","team","million","hotel","piedmont","match","draft","ban","narendra","gove","impose","extend","pakistan","gathering","allow","restriction","minister","camp","dormitory","manila","step","vaccine","installation","hospital","japanese","legal","attorney","conversation","year","collection","temperature","poll","percent","netanyahu","right","get","sure","hold","get","deep","three","campaign","leader","donald","protester","operate","resident","fly","country","mental","workforce","contact","exempt","result","mandate","zone","chicago","three","open","restaurant","act","teacher","fall","another","infection","even","education","provide","incidence","teacher","force","virtually","rate","positivity","affair","advice","face","measure","power"
"32","use","healthcare","without","province","area","france","distance","hardship","military","singh","people","import","jakarta","government","area","province","bay","incident","protocol","warn","poll","year","decree","order","pacific","employee","write","voter","various","victim","upcoming","absentee","china","strategy","speech","comment","penny","positive","america","voter","anyone","love","everything","asymptomatic","recent","single","food","isolation","large","ricketts","come","loss","key","comply","particle","wear","standard","warning","schedule","sure","package","native","sector","rate","level","head","work","order","researcher","executive","student","go","also","four","affect","advise","countrys","affair","recent"
"33","help","chinese","transport","enough","ash","municipality","people","hospital","police","government","sweden","pastor","family","ambulance","close","allow","path","case","guidance","philippines","ppe","healthcare","affect","saturday","photo","management","twice","lee","attendance","fear","performance","concert","request","tell","birx","sand","nation","control","quickly","rally","thing","week","iowa","follow","responsibility","delta","base","carolina","death","rule","year","houston","learn","effect","performance","return","exercise","arizona","prioritize","attend","additional","expectancy","district","campus","facility","law","factor","system","high","clear","worry","anything","difficulty","social","affiliate","adviser","many","defense","status"
"34","run","open","commission","japan","die","city","outside","authority","construction","die","stay","spread","church","worker","citizen","arabia","prayer","age","advise","kit","wear","ability","official","alert","post","friday","amazon","health","milwaukee","etienne","integrity","people","threat","adviser","didnt","rapid","open","clear","conservative","year","china","medium","navy","leader","penny","influenza","white","wide","long","social","production","english","whether","aircraft","us","require","rugby","dark","include","unemployment","child","cardona","statement","central","close","wish","jersey","public","district","recovery","mobile","positivity","evaluate","hospitalize","african","advisory","recent","proof","tyson"
"35","street","seek","violate","diagnosis","lockdown","la","ceremony","outdoor","moscow","philippine","export","televise","yearold","district","movement","opt","activity","southern","advisory","month","cluster","mix","declaration","shelterplace","unprecedented","viral","jha","lancet","allow","deploy","moeti","board","airborne","panic","tell","conversation","die","virus","travel","task","voter","spend","hotel","president","cleveland","comply","right","investment","cause","visitor","th","wen","place","hub","control","rate","americas","contract","longterm","slavitt","spokesperson","soon","pharmacy","cover","across","drink","create","dc","campus","georgia","regulation","create","preliminary","per","afternoon","affair","see","agency","take"
"36","another","billion","lockdown","show","town","patient","video","card","mumbai","leave","municipal","prime","journey","may","government","special","near","reopen","khan","president","year","annual","department","benjamin","lake","august","stroke","significantly","infectious","give","bromage","remember","virus","veteran","think","garden","downplay","active","address","claim","yet","expose","tuesday","tweet","yellow","therapy","arabia","cloth","authority","able","promise","teach","resource","directive","distance","student","mix","emphasize","surge","fema","biden","heart","program","mortality","inslee","emmanuel","germany","exit","remote","classroom","lightfoot","hope","percentage","black","age","affect","come","cuomo","message"
"37","ready","work","thank","facility","office","far","place","census","federation","region","putin","hotspot","mumbai","red","violence","wuhan","area","accord","prayer","declare","basic","worker","westchester","relate","michigan","transition","europe","april","impact","alert","give","march","speak","contradict","medical","alliance","reporter","even","pcr","highlight","identify","political","combine","protection","accordance","symptom","arrangement","contact","major","nyc","event","pay","wisconsin","lay","can","virtual","low","distribute","majority","governor","include","quarantine","poll","corp","khan","interior","learn","theater","scholarship","public","nyc","bill","exactly","must","agency","affiliate","accord","local","announce"
"38","new","run","hundred","iran","people","manage","door","government","madrid","billion","egg","saturday","case","andhra","ban","leave","strong","government","muslim","broad","proper","cnn","trigger","strike","accord","temporary","redfield","live","demonstrate","remove","poll","five","handle","information","believe","poor","respond","harris","detect","vice","father","donald","committee","staff","lady","underscore","peru","program","lawyer","vehicle","treatment","frances","us","wen","negative","cdcs","outbreak","spread","gov","act","can","kindergarten","may","instruction","system","fulltime","employee","every","superintendent","three","fully","five","mitchell","increase","ago","african","important","veteran","law"
"39","public","facility","story","limit","cnn","door","madrid","gathering","million","bus","country","measure","government","border","prohibit","may","leave","allow","saudi","curfew","kentucky","radio","wife","instagram","community","strong","obesity","affair","reverse","help","prominent","death","voice","create","system","place","video","florida","closely","donald","duke","just","stimulus","transmit","titan","short","dormitory","immigration","mortgage","approximately","despite","church","daily","american","pete","back","player","start","safety","agencys","come","advise","february","minority","announcement","countrys","measure","context","mayor","august","prohibit","decrease","delaware","note","agree","afternoon","missouri","care","state"
"40","speak","shortage","personnel","staff","tenerife","saturday","restriction","event","countrys","food","drive","russian","victim","halt","passenger","live","pm","london","social","target","sometimes","berlin","january","famous","unit","accord","virus","italy","decade","disease","esper","afternoon","nothing","respond","interview","family","america","sean","let","meet","charles","staff","force","chief","president","citys","vaccine","clinic","toward","clinic","program","force","leana","david","airline","rochelle","implement","get","publish","recommendation","social","high","show","toward","intend","age","available","lee","wish","majority","engage","hundred","anxiety","death","ahead","age","business","city","court"
"41","post","need","apartment","send","europes","tour","head","shop","essential","family","scotlands","ministry","palace","tourist","domestic","march","erdogan","medical","medicine","guideline","academy","pilot","orlando","live","reflect","normal","immediately","letter","group","allow","minimize","mother","contagious","deadly","virus","tell","senator","risk","garden","week","action","person","wont","travel","alex","detect","house","obtain","miller","flight","risk","physical","contact","screen","gap","domestic","hawaii","conversation","stay","grant","bus","black","mode","adopt","etienne","mean","proof","push","order","continue","arrive","countrys","term","young","aid","agency","critical","include","york"
"42","account","gather","help","indian","tell","lockdown","bar","phone","announce","italy","train","live","ministry","strand","loosen","resume","powerful","stand","start","gradual","exception","talk","ask","black","combat","quarantine","poll","child","live","become","surface","brooklyn","remark","leadership","still","abbott","strategy","symptom","think","air","year","amid","survey","inconclusive","breach","request","recognize","fail","advocate","professional","include","currently","safe","bus","double","hybrid","disease","quarter","family","agency","resource","strict","childcare","therapeutics","december","family","shift","park","staff","must","september","ahead","save","official","aim","ago","economic","los","visitor"
"43","one","cnn","fight","never","home","infect","modena","private","capital","effort","yearold","foreigner","society","extend","bus","country","odisha","holiday","extremely","fact","equipment","texas","strike","brazilian","often","release","citation","medium","official","fund","way","sick","decide","key","refuse","china","interact","joe","meet","though","cambodia","year","white","election","kindergarten","chief","power","zealand","predict","exception","member","since","map","administration","really","federal","symptomatic","walensky","need","worker","form","campus","hispanic","disproportionately","access","note","university","whether","contact","year","reason","hit","dose","time","air","agree","product","job","fund"
"44","life","home","strict","share","test","hospitalize","rail","put","thank","capital","outbreak","mumbai","young","allow","protest","uae","muslim","office","month","way","remain","provision","four","medical","attend","air","fbi","system","obtain","force","music","heart","maybe","reporter","mislead","receive","nothing","patient","cdc","test","another","worker","trump","defer","affair","august","fly","russia","rapidly","order","secretary","use","demonstrate","department","middle","cnn","community","california","option","roll","harris","man","northeastern","early","policy","control","goal","large","eligible","staff","five","show","example","adult","aircraft","ahead","protest","incentive","million"
"45","shop","staff","get","goggle","austria","travel","riot","defer","ministry","life","light","caste","home","raise","may","indias","make","recover","mark","saturday","strong","gaynor","night","zero","island","member","crime","island","green","speak","crime","center","else","security","advance","criticize","witness","receive","florida","event","public","dozen","really","edward","city","preparation","customer","prison","black","fine","miss","two","mask","violation","scene","implement","scale","publish","rest","government","educational","hispanic","available","pharmacy","police","minnesota","require","monday","public","nation","get","less","staff","july","airline","aid","thomas","come","local"
"46","outside","suspect","share","relief","costa","staff","hotel","field","territory","disinfectant","xi","message","pradesh","wall","bernama","singh","authority","measure","house","government","dose","giroir","two","care","visit","contagious","among","vote","video","american","politician","admit","die","johnson","un","handle","history","still","delay","since","add","trouble","public","congress","delta","stephen","oklahoma","commissioner","hh","impose","church","recommend","european","circumstance","screen","distance","publish","facility","forward","include","devastate","answer","place","period","provider","side","unit","instead","mccloud","begin","recovery","also","church","coronavirus","airport","aim","grow","white","enter"
"47","suit","receive","drive","crucial","man","government","behind","pope","work","thousand","bmc","country","month","mile","culture","maharashtra","balance","million","warn","site","military","resident","latin","picture","hope","status","document","grow","base","racism","respiratory","twitter","repeatedly","night","attack","incident","eli","diagnosis","schedule","night","claim","senate","russian","local","road","house","stephen","passenger","true","accelerate","appoint","roll","eviction","earn","grade","label","level","low","retail","american","towards","return","large","th","care","situation","similar","line","university","increase","can","think","gradually","american","airway","air","additionally","mandate","concern"
"48","member","another","delivery","healthcare","easter","union","peter","elderly","complete","council","dighavkar","scrutiny","chief","violence","railway","announce","weaken","conference","citizen","stay","february","regularly","district","combat","territory","disruption","benefit","explain","source","nhs","russia","ventilator","exchange","handle","administration","world","sick","presidential","clear","reach","read","queen","mitch","delay","congressional","account","city","register","pick","hard","cabinet","express","suspend","staff","edge","requirement","rochelle","base","proud","additional","academic","peter","exercise","statistic","effect","curfew","meet","come","executive","angeles","week","million","watch","monday","alaska","aircraft","medicine","employer","schaffner"
"49","beijing","inside","medium","contagious","heavily","authority","enforce","prohibit","census","essential","region","abuse","country","fight","xinhua","child","age","police","board","review","angeles","federal","hospital","territory","officer","employ","appear","wisconsin","public","hate","march","get","good","administration","prerecord","country","happen","replicate","cancel","alone","prime","underscore","signal","ahead","carrier","sinovac","migrant","china","russias","great","chuck","close","fund","inside","within","color","key","open","hybrid","cdc","excuse","roll","eight","process","plan","mitigation","condition","happen","air","los","person","phase","syndrome","pandemic","alert","airline","infection","submit","strengthen"
"50","nurse","make","group","shop","train","restaurant","bureau","organize","crisis","philippines","paris","family","suppress","senior","gathering","mall","mark","pm","however","february","surprise","zero","sustain","rally","symptom","wayne","previously","henry","service","crime","despite","pull","obtain","downplay","comment","repeatedly","virus","hour","plan","fully","minister","ferrer","recent","kelly","election","federal","process","week","perform","senior","license","change","criticism","show","plan","less","sunday","teacher","facility","every","classroom","great","pay","racial","force","nation","step","situation","tweet","pass","progress","several","symptomatic","vaccine","alex","airport","spike","facility","andrew"
