"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"27","community","hua","prevent","room","concern","committee","pelosi","federal","sen","leader","package","halt","business","china","source","staff","agency","weekend","year","official","concern","political","donald","disease","question","press","expert","speak","disease","administration","interview","approach","lot","herd","director","infect","us","expert","disaster","wear","month","plan","clear","white","tedros","plan","confidence","feed","maintain","shoot","transfer","focus","press","american","credit","bipartisan","press","plan","round","little","statement","long","arrest","senior","cap","vaccination","nearly","committee","way","postpone","watch","currently","situation","tokyo","add","assume","missouri","dozen","response"
"28","prepare","community","system","weekend","human","expect","conservative","press","administration","american","bill","biden","virginia","ask","brief","chinese","obama","dr","appropriation","ebola","administration","attend","want","mask","advance","bad","call","much","feel","mask","infectious","wear","flu","add","virus","cnn","institute","can","control","life","house","strategy","joe","immediate","distribution","office","vaccination","helpful","problem","limit","hard","osterholm","effort","stimulus","former","together","democratic","increase","income","press","original","little","pharmacy","access","air","decline","indonesian","three","special","consider","participate","threat","basis","transport","additional","lag","chicago","european","infectious"
"29","wednesday","feed","kit","management","speak","will","tell","mcconnell","massie","treasury","penny","program","guideline","intelligence","trade","remotely","comment","entry","republican","tell","wear","ryan","step","campaign","administration","instead","watch","go","without","birx","sanitizer","infect","home","available","particle","troye","control","governor","fall","allergy","chief","wolf","vaccinate","mandate","test","ask","jerome","resident","vice","may","letter","plan","pandemic","democratic","year","will","propose","accuse","expect","infrastructure","american","contact","many","deploy","tokyo","student","boost","around","organizer","want","certain","facility","hour","exist","address","maskwearing","explain","outside","individual"
"30","official","closely","outbreak","hold","complaint","kit","wajngarten","american","economy","re","think","need","remark","go","force","former","response","save","think","cdc","anthony","think","administration","coronavirus","believe","think","top","widespread","instagram","lamp","contact","vaccine","infect","us","sanjay","tell","bright","event","tell","vice","fire","white","keep","tell","go","bidens","alex","conversation","say","army","senate","policy","director","support","address","trillion","joe","package","rule","trillion","bill","law","everyone","directly","actually","break","save","service","international","approach","rate","traveler","athlete","financial","adhanom","bourla","term","struggle","see"
"31","constitute","scientist","cancel","emergency","ready","speak","sen","get","mnuchin","income","ghebreyesus","american","force","secretary","vice","vote","source","august","produce","comment","vice","wear","slow","top","good","different","allergy","need","good","nation","thing","mask","tell","prevention","watch","wear","american","christie","call","know","response","director","need","year","little","education","ask","strategy","express","percentage","address","regular","sign","forward","stimulus","need","member","republican","family","credit","psaki","ppp","live","fear","urge","often","employee","hold","postpone","possible","can","nation","plant","permanent","administration","announcement","restaurant","traveler","booster"
"32","geneva","event","director","joint","public","effort","response","proposal","nancy","infrastructure","american","democrat","democratic","watch","also","person","wuhan","birx","familiar","appear","see","get","texas","try","school","nation","now","campaign","know","important","hand","someone","many","need","cnn","thing","ryan","allergy","way","watch","voter","term","country","today","take","donald","official","retire","transition","black","improve","presidentelect","jen","counterproposal","get","trump","american","love","couple","convince","expect","tenant","eligibility","transportation","safe","surpass","follow","good","athletic","sport","hold","give","canada","initiative","administrative","similar","greece","active","example"
"33","need","information","committee","outbreak","alex","appropriation","lawmaker","re","approve","deal","clear","back","senator","call","issue","penny","respond","oppose","cdc","transmit","attendee","comment","interview","remark","look","really","look","watch","many","hand","anthony","right","everyone","task","infectious","expert","allergy","really","response","disease","team","board","make","economy","team","global","type","resource","doubt","incoming","distance","azar","rescue","job","raise","administration","party","dpa","democrat","jen","russian","disease","sign","recovery","gathering","make","mark","question","israel","various","birth","datum","high","egypt","admit","drop","emmanuel","representative","go"
"34","include","uk","discrimination","super","handle","inslee","political","relief","majority","congress","source","think","liberate","talk","stockpile","spokesman","beijing","memorial","national","expert","really","say","expert","administration","official","gate","speak","know","full","want","call","want","mean","confuse","can","sometimes","truth","people","shut","director","want","leadership","message","global","dr","virus","senior","meanwhile","independent","tribal","support","travel","mask","benefit","secretary","money","committee","socially","put","travel","meet","program","urge","sometimes","point","patient","globally","restaurant","medical","despite","write","public","case","review","advice","improve","sept","convey","surge"
"35","take","global","geneva","prevent","expert","remark","secretary","package","mcconnell","aide","want","decision","bill","tell","senate","outbreak","politician","expert","whether","lead","official","ask","event","brief","science","wait","wear","claim","president","still","control","like","event","anthony","indoor","position","nih","watch","watch","staff","note","ranney","someone","really","enough","house","receive","fellow","resource","boom","eligible","letter","will","payment","democratic","lot","like","one","dependent","payment","federal","available","june","advance","governor","death","governor","uk","major","government","negative","resident","notice","costa","advise","vulnerable","address","instruction","discussion"
"36","country","campus","assist","response","health","think","cpac","schumer","source","trillion","memo","question","moment","interview","five","foreign","task","commissioner","prevention","cooper","stitt","secret","deborah","mcenany","secretary","jake","talk","coronavirus","prior","control","close","american","mask","contact","airborne","immunity","wear","american","like","really","post","elbayoumi","national","understand","interview","equitable","public","ahead","fact","patient","partner","transition","anthony","will","senate","former","life","exercise","sign","support","allocate","originally","vaccination","gavin","service","toll","throughout","low","can","expert","county","include","astrazeneca","acknowledge","adviser","receive","france","round","international"
"37","officer","geneva","mobile","call","olympic","supplemental","re","rep","negotiation","task","process","guideline","way","relief","market","staffer","republican","cooper","november","ryan","allergy","mcenany","ask","look","instead","birx","like","chan","gupta","can","someone","prevent","winter","people","infect","join","offer","vaccine","year","administration","anthony","coronavirus","disease","think","happen","world","service","director","story","commercial","majority","leader","republican","economic","rep","fund","light","promise","account","directly","hold","protect","additional","newsom","mask","man","will","lift","researcher","friday","increase","situation","country","exactly","advisory","give","work","grade","right"
"38","early","spokeswoman","go","threat","prepare","republican","collins","positive","paul","payment","billion","role","america","analysis","theory","robert","consider","security","call","kudlow","us","way","hear","control","familiar","mask","see","cnns","different","look","decrease","stop","adm","official","control","president","deadly","us","crowd","despite","moment","emergency","infectious","act","pandemic","think","life","explain","crisis","alex","us","will","restriction","ability","richmond","commitment","trillion","interest","small","small","district","season","clinic","notify","measure","oversee","local","city","speak","participate","end","destination","less","selfisolate","affair","head","morning","interior","president"
"39","exchange","tedros","national","express","american","official","contact","senator","call","committee","philadelphia","review","freedom","penny","republican","push","pompeo","penny","institute","vaccine","task","rise","think","attend","fox","institute","strategy","american","use","warn","guidance","community","symptom","vaccination","lot","transmission","re","hand","moment","spike","probably","hope","act","redfield","church","aim","executive","pass","around","investigation","emergency","health","provide","capitol","support","floor","sen","involve","us","pass","specific","thousand","hit","court","prime","jair","age","enhance","official","virus","period","finland","close","provision","affect","rise","italy","add","adams"
"40","ghebreyesus","low","public","respond","business","get","congress","need","final","presidential","treasury","crisis","question","oversight","pelosi","contact","trade","immediately","clear","north","plan","test","encourage","think","claim","campaign","governor","look","gather","director","suspect","coordinator","weekend","potential","potentially","allergy","official","political","much","place","surge","cnns","go","preparedness","deborah","disease","will","human","education","confidence","sure","withdraw","order","congressional","proposal","budget","harris","joe","aide","go","timeline","protocol","yearold","graduation","limit","coronavac","end","november","delay","increase","really","japan","concern","icu","affiliate","period","make","test","protection"
"41","decision","look","uk","record","act","re","come","act","vice","check","give","state","praise","kudlow","attack","republican","vice","aim","meet","concern","force","republican","see","expert","tension","cnns","cant","control","especially","food","american","distance","gottlieb","outbreak","know","distance","distance","need","nation","political","public","sweden","mike","reiner","nature","mandate","transition","trump","american","surgery","head","jen","ask","proposal","dentist","reconciliation","reconciliation","pay","rescue","focus","continue","assistance","administer","vigilant","away","outdoor","case","ticket","virus","vaccinate","resident","medium","coronavirus","deplete","african","california","may","battle","keep"
"42","fear","good","prevention","send","leader","keep","legislation","source","billion","sign","stimulus","thing","small","comment","cnn","katie","washington","mike","never","agent","postpone","event","arizona","secretary","medicine","multiple","claim","spread","country","authorization","exposure","crowd","look","national","change","information","winter","go","political","federal","love","johnson","spread","happen","white","dr","take","shoot","safety","front","board","secretary","say","party","tradition","increase","parliamentarian","vote","passage","trip","fund","president","capacity","change","los","slow","read","suga","much","participant","lot","outbreak","overall","collective","afternoon","fall","result","investigation","future"
"43","hold","movement","concern","fear","secretary","task","leader","task","mike","need","adviser","plan","protester","say","tweet","anthony","public","clear","decision","administration","reiner","watch","even","hahn","host","wear","surge","add","lot","good","life","think","control","like","really","national","hand","sound","adviser","never","read","lead","cnns","force","public","prioritize","terrible","control","re","dose","amid","strategy","need","billion","office","work","hold","push","receive","governor","food","bill","work","end","seat","countrys","diagnose","anticipate","doctor","return","aim","vary","right","racial","age","among","traveler","government","drug"
"44","race","parent","express","create","answer","respond","task","think","democratic","familiar","re","phase","economy","rural","statement","friday","american","spread","coronavirus","public","jha","cnns","protect","interview","task","donald","administration","immune","post","people","question","weekend","research","host","prevention","fall","everyone","trust","pandemic","message","election","approach","support","can","benefit","life","relative","cdc","distribution","delay","community","organization","transition","final","lose","final","however","purchase","send","include","long","wear","message","cancel","chance","research","organize","larry","center","however","support","finally","provide","regulatory","agency","cause","similar","violation","give"
"45","action","game","disease","thing","department","secretary","industry","physician","capitol","senator","senate","get","response","power","comment","valet","progressive","issue","top","us","mcenany","director","senate","hold","say","important","way","false","watch","explain","director","test","america","test","post","coronavirus","federal","rally","health","like","brief","help","way","birx","investment","faa","feed","vaccinate","current","event","access","wear","act","production","billion","crisis","process","vice","remark","economic","program","send","spring","semester","assembly","sunday","subway","whitmer","singapore","available","low","category","give","explore","ago","area","city","scientist","ask"
"46","directorgeneral","regularly","important","china","cnn","schumer","force","sen","rep","speaker","kudlow","money","whether","michigan","virus","claim","blame","letter","risk","closely","spread","joke","pan","mike","though","interview","indiana","forum","rally","washington","food","cdc","like","vaccinate","level","lot","coronavirus","just","country","press","campaign","important","vaccine","handle","think","obama","rep","soon","president","houston","now","supply","action","assistance","lawmaker","wage","administration","mask","weekend","goal","three","watch","already","active","refuse","festival","brazilian","bill","transit","one","open","substance","get","pcr","agree","report","people","never","hard"
"47","education","severely","general","control","think","senior","office","marlago","get","freeze","lender","right","attack","mnuchin","eu","committee","draft","crowd","effective","never","like","expert","cnns","speech","shut","tb","want","back","mislead","way","mean","important","want","infection","center","important","guideline","fact","white","tell","lead","task","policy","deborah","develop","administration","encourage","get","criticize","education","carry","international","boost","friday","per","aside","year","everything","tax","today","expert","shot","office","attendee","republic","scheme","experiment","cruise","preparedness","state","news","cnn","include","estate","ahead","expect","sign","fine","event"
"48","case","rumor","ebola","make","want","lawmaker","vote","pelosi","minority","money","back","economic","believe","get","offer","handle","question","australias","come","make","donald","go","director","encourage","relationship","coronavirus","video","mask","together","thousand","ghaly","change","virus","health","allergy","way","question","lead","help","science","despite","pandemic","presidential","together","protect","pilot","distribution","help","define","encourage","combat","press","critical","legislation","back","joe","provision","woman","tomorrow","office","medicare","federal","speak","negative","correspondent","ago","mariner","necessary","anticipate","john","university","issue","australia","respondent","aid","delta","test","league","yet"
"49","measure","college","host","event","whistleblower","donald","expect","provision","mitch","lawmaker","deal","senate","lawmaker","need","senior","twitter","secretary","dismiss","make","symptom","top","top","infectious","really","thing","discuss","ohio","misinformation","story","former","update","symptom","season","protect","just","virus","administration","cnn","administration","country","institute","us","murthy","mitigation","possibly","pledge","exist","tell","appropriate","strategy","messonnier","memo","discussion","administration","request","benefit","rule","remark","leader","secretary","hire","half","start","complication","postponement","semester","bolsonaro","critical","foundation","miss","cnn","athlete","avoid","gaza","aim","cnn","country","england","talk"
"50","just","call","organizer","similar","official","resource","jair","treasury","talk","want","probably","tell","medium","west","early","wear","anthony","urge","black","butler","meet","disease","freedom","tell","think","speak","avoid","top","event","lead","appropriate","asymptomatic","see","really","like","monday","spring","public","rally","good","disease","donald","encourage","wear","thanksgiving","develop","role","secretary","everything","team","party","swear","federal","act","july","leader","leader","turn","key","available","puerto","expand","address","lack","athletic","investigate","exam","michigan","ioc","michael","last","guidance","chain","midapril","air","covid","vaccination","away","gov"
