"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"41","contágio","tripulação","através","análises","tripulação","albuquerque","marrocos","estudante","proveniente","pontar","chinar","afinal","navio","reabrir","nova","areal","setor","terceirar","ginásios","observador","manter","aliviar","voltar","vendar","regressar","ajuntamento","ordem","autorização","equipamento","ministro","presencial","sala","manter","garantir","covid","apresentar","escola","suspender","presencial","excecional","abertura","reúne","beja","passagem","norte","castelo","pib","acima","hubei","lista","próxima","capital","voltar","uci","identidade","valor","relação","taxar","madeirar","positivo","encontrar","semana","crescente","neste","fechar","regressar","nestes","distrito","mago","nacional","quatro","seixal","fim","taxar","loulé","subir","semana","maria","algarve","algarve","indicador","portar","semana","união","vermelhar","novo","epidémica","letalidade","outubro","últimos","regiões","vidar","taxar","moderar","vila","último","alertar"
"42","ministrar","anunciar","início","transferir","resultado","olympiacos","partir","fronteira","mendes","aérea","açores","portugal","público","aberta","qualidade","belém","teatro","partir","transportar","ambientar","públicos","durante","público","então","impor","legislativo","podar","estabelecimento","municipal","decisão","contra","funcionamento","ministro","teletrabalho","possível","possível","estabelecer","proteção","distanciamento","alcácer","poder","particular","lousada","guimarães","mil","rainho","clínica","tarefar","atendimento","dado","câmara","fonte","autónomas","número","tóquio","redução","encontrar","arquipélago","setembro","transmissibilidade","mantém","limitar","nacional","dado","insa","seguida","índice","relatório","salvaterra","amador","cincar","odivelas","franco","maior","abaixar","regiões","regiões","tendência","mantém","positivar","registar","santo","decrescente","novo","aqui","sentir","moderado","transmissibilidade","última","norte","novo","ter","precisar","cumulativo","grupar","abaixar","alguém"
"43","passaporte","ter","confirmado","concidadão","confirmar","ryanair","filipina","residente","alemães","aviões","marinhar","fome","durante","fernandes","indicação","pessoa","lugar","junho","quantum","população","ambientar","transportar","entrado","segurança","reinar","encerramento","coletivo","espaço","acesso","ensinar","atividades","pública","natal","comunicar","guimarães","observador","observador","cultural","manter","mercar","ferreiro","geral","viana","morar","adiado","calda","alimentar","proibição","chusj","contágios","agendado","comissão","vidar","lisboa","médio","sempre","divulgado","inferior","semana","avisar","cada","açores","rir","infeção","portimão","falar","vermelhar","continente","valar","leitura","nesta","alto","mantêm","aluno","área","valar","territórios","heroísmo","praia","maior","estável","continental","taxar","estável","etárias","diários","idoso","manter","ambos","aumentar","austrália","apresentar","última","maria","valor","atualização","algum"
"44","passar","relacionado","fretar","portar","fevereiro","avião","residente","europeu","repatriar","chinês","gesto","tempo","março","pereira","luva","equipamento","segurança","higiene","higienização","obrigatório","multa","estabelecer","entrar","parque","riscar","vão","reabrir","autónoma","autoridade","conselho","docente","podar","alunar","individual","ajudar","cada","diretora","encerramento","presidente","luso","serviços","felgueiras","alcoólicas","tradicional","atleta","joão","bastar","neste","compor","dezembro","maio","brasileiro","lisboa","novo","clínica","subir","maio","fev","verificar","especialista","portar","odemira","confirmar","portugal","indicador","último","restar","subir","mantém","stcp","vigor","ministro","horário","apresentar","algarvio","país","sines","santo","índice","lar","crescente","utente","regiões","jorge","assinalar","aumentar","concelho","imprensar","apresentar","grupar","insa","maior","extremamente","voltar","últimos","milhão","alimento"
"45","após","antar","repatriado","contactar","questão","giuseppe","argentino","fonte","clínica","xi","organizado","exterior","gradualmente","trânsito","utilização","teixeira","vão","medido","cada","março","horários","governador","autarquia","passar","colocar","fazer","prestar","autarca","espanhol","algum","algum","docente","alertar","rodrigar","especialista","enquanto","voluntária","situação","segundafeira","municípios","entrar","matosinhos","semana","york","castrar","subido","guimarães","simbólico","mapa","dez","concluído","cincar","portar","longo","identificação","dezembro","travar","março","limitar","tendência","manter","évora","acumulado","miguel","valongo","freguesia","bastar","linha","perto","cem","semana","municípios","sines","observar","funcionar","dia","gráficos","ministro","portugal","estável","festa","valar","centrar","vermelhar","principal","tratar","ligeiramente","taxar","crescente","perceber","limitar","riscar","últimos","europeu","cair","área","alto"
"46","diagnosticar","japonãªs","positivar","avião","psp","anunciar","operar","polícia","hoje","celebração","fronteira","francês","voltar","constatar","voar","diogo","cultura","exceto","regiões","direçãogeral","proibição","informal","loja","causar","dois","ministro","âmbito","sempre","sempre","aumentar","manifestar","consumar","segurança","funcionários","invernar","segurança","mourar","suspensão","lotação","funcionar","municípios","novembro","municipal","suspenso","rainho","santo","portalegre","perder","prometer","sofrer","cincar","fevereiro","nestas","entroncamento","spms","cada","índice","restante","arquipélago","mantém","zonar","matriz","recuar","última","aljezur","infeção","acolher","subido","açores","transmissibilidade","taxar","proibição","contabilização","aml","nacional","mantém","açores","assim","linha","feirar","ago","anterior","indicador","índice","seguir","corresponder","elevado","últimos","extremar","definir","sofrer","alertar","koch","quatro","insa","ativos","altura"
"47","começou","médicos","pessoa","cidadão","salário","xtravel","empresar","estrangeirar","brasil","venezuelano","proveniente","marcado","obra","sodré","imagem","ceuta","utilização","piscina","possível","sobretudo","público","proteção","normalmente","quatro","continente","dança","atividades","deverá","explicar","condições","tal","carvalho","rádio","letivo","superior","individual","estruturar","freguesia","medida","continuar","beirar","semana","segurança","abastecimento","câmara","velho","reduzido","maior","coruche","onde","boletim","moderar","comissão","santarém","almeida","especialista","entroncamento","felgueiras","decidir","epidemiológica","solo","capital","especialista","voltar","média","nestes","mostrar","acima","lista","paiva","entrar","subir","observar","circulação","tendência","níveis","ilhar","médio","exceção","matosinhos","maior","elevado","desta","mapa","doenças","atualização","análise","respetivamente","decrescente","proporção","arouca","cliente","transmissibilidade","instituto","europeu","alto","âmbito"
"48","empresar","ministério","ministério","tardar","ligações","entrada","augusto","nacionalidade","entrar","equipamento","chinês","marítima","batalhar","voo","semana","takeaway","porta","julgamento","ar","pessoa","cumprimentar","vão","abandonar","região","quarentenar","internar","fechado","norma","atividade","famílias","riscar","adão","bar","recomendar","caso","funcionário","imediato","lotação","atividades","escola","podar","abertura","retirar","aquisição","comunicar","chave","trofa","parecer","parede","relativo","matosinhos","matosinhos","encontrar","almada","rt","familiar","matosinhos","ocupação","especialista","mobilidade","subir","lisboa","sal","baixar","transmissibilidade","mariano","nacional","resende","média","abaixar","elevado","vila","vila","surto","recuar","nomeadamente","índice","transmissibilidade","valor","bispar","norte","dgs","doutor","subsídio","deixar","setembro","cidadãos","abranger","limiar","descer","mafra","insa","distrito","inferior","semanal","elevado","ambos"
"49","filhar","publicar","estado","restante","investigar","decretar","operações","autónoma","região","realizar","cancelada","problema","voo","pontar","serviços","ir","entrado","cliente","orientações","permanecer","tipo","incumprimento","álcool","distância","contagiado","mariano","medida","tipo","estar","cama","combater","especialista","evitar","deverão","casar","abertura","máscaras","agrupamento","distância","cumprimentar","entregar","iniciativo","restrições","municipal","extremar","fne","viana","diagnóstico","torrar","encontrar","cubar","aveiro","madeirar","diferença","goes","cascar","beja","cincar","definir","viana","elevar","variação","jorge","açores","querer","baixo","significar","passado","ilhar","números","descer","franco","medida","continente","valar","ritmar","insa","portar","taxar","gaiar","matriz","território","publicar","ecdc","restrições","reduzir","indicar","crescente","divulgar","algarve","aumentar","quedar","hora","milhão","portugal","surtir","ameaça"
"50","ministério","autoridade","países","receber","autoridade","reservar","aviação","terminal","informar","homólogo","regressar","largar","restrições","permanecer","londres","habitual","funcionários","setor","aplicação","máscara","social","sala","ginásios","pouco","família","funcionar","contexto","educação","decisão","mudança","ministrar","públicos","colégio","ouça","notar","conferências","espetáculos","psp","finado","direçãogeral","sábado","trabalhador","viseu","restante","rodrigar","lousada","reduzida","cursar","cem","torr","aumentar","beirar","menos","rastreamento","modelo","fatores","cascar","impactar","regiões","categoria","dgs","antónio","vez","quatro","áreas","pontar","luso","dão","índice","semana","subir","montar","atual","lista","portar","joão","apresentar","continente","joão","metropolitano","aproximar","voltar","menos","palmela","chegar","assim","olhar","sofrer","indicador","valar","dia","croácia","julho","lembrar","menos","trabalhador","américa"
