"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"11","estudante","crianças","suficiente","procurar","administração","funcionamento","horários","superfícies","cuidador","cabral","empresa","apoiar","siza","pedido","banco","mendes","condições","salário","euro","godinho","vinho","deputado","josé","expansão","crise","psd","presentar","psicólogos","qatar","responsabilidade","lotação","costa","cumprimentar","apelar","elemento","tempo","versão","suplementar","urgente","josé","orçamento","maria","gnr","empresários","recuperação","capaz","presidência","faturação","social","medida","setor","governante","setor","apontar","antigénio","precisar","atividades","aula","funcionários","pessoal","ciclo","fim","comunidade","testar","minho","presidente","determinado","lisboa","público","festejo","rir","lisboa","segurança","local","município","fiscalização","festa","escola","gripar","lado","responsabilidade","primeiro","in","mecanismo","setembro","unir","completar","circulação","crianças","ativos","cancro","onde","alemanha","ultrapassar","contactar","isolamento","acordar"
"12","produto","equipamento","voltar","grupar","teletrabalho","tribunal","funcionamento","essencial","moçambique","adse","be","regime","social","milhões","defender","pagamento","be","euro","análise","medida","recurso","bloco","famílias","ligações","chefe","programar","oferecer","democracia","vagar","vez","planar","câmara","recinto","mourar","transmissão","internacional","finanças","utao","ações","produto","protestar","jornalista","psp","receber","vieira","inscrever","economia","salvador","sala","produto","entregar","exercer","casa","desempregar","testado","temer","quase","rápidos","ciclo","vacinação","aula","universidade","concelho","sala","dentro","público","campeão","ofertar","haverá","presidente","festejo","popular","comunicação","lisboa","pã´r","distrito","ua","menor","durante","sequência","sequência","governador","adulto","denunciar","ir","índia","quarentenar","altura","pedir","aluno","países","governar","novembro","diários","isolamento","luzir","acreditar"
"13","máscara","farmácias","sobretudo","desinfetantes","assembleia","serviços","produto","serviço","trabalhar","metro","mil","apoio","medida","restauração","trabalhar","apoio","pagamento","retomar","racismo","ana","acesso","rendimento","compromisso","confirmar","recuperação","económica","fita","sobrar","debate","festival","espetáculos","vez","álcool","obrigatório","entrar","preocupado","empréstimo","ano","investimento","consulta","pública","restaurante","manifestação","movimentar","orçamento","setor","restauração","têm","siza","abril","governar","euro","pagamento","atividade","investimento","ter","abordagem","escolar","vendar","aluno","ministrar","regressar","estudante","docente","autarca","processar","jornalista","jair","presidente","evento","ruir","psp","existência","presidente","adiantar","âmbito","covid","tempo","twitter","unir","zelândia","agente","setembro","the","restrições","surtir","serviço","zelândia","sentir","diagnóstico","apresentado","fácil","relativo","vendar","rever","futebol","acrescentar"
"14","luva","covid","laboratório","pesquisar","trabalhador","desinfeção","medida","garantir","informal","social","empresar","pagamento","setor","segurança","segurança","ana","programar","perda","pequeno","setor","medida","votação","ps","companhia","economia","simplificar","queimar","dar","concelho","imprensar","comerciante","segurança","proibição","estádios","manter","inem","estar","irs","redução","chamado","apoiar","manifestações","república","crise","restauração","deputado","von","critérios","trabalhar","avisar","medida","passar","cds","deputado","podar","garantir","olhar","regressar","préescolar","desconfinamento","farmácias","aprendizagem","ir","retomar","vila","atividades","processar","suceder","fernando","municipal","profissional","noite","alcoólicas","euro","centrar","auto","conter","universidade","have","social","auckland","anunciar","world","cruz","estar","jair","positivar","participar","aula","estatística","portugal","desportivo","proteção","liberal","belga","garcia","adhanom"
"15","controlar","poder","animal","preços","procedimento","externar","colaborador","entregar","sequência","transportar","medida","serviços","apoio","associação","recuperação","fundar","simplificar","trabalhar","paulo","julho","mil","suplementar","manuel","serviço","serviço","versão","especificar","apoiar","bilhete","âmbito","fechar","governar","tomar","regra","abril","ordem","despesa","governar","reforço","beirar","inquérito","faturação","portar","pão","ministrar","ministrar","setor","existir","medida","cultural","antónio","vieira","stock","riscar","carlos","realizar","deixar","realização","abril","vão","testagem","presencial","aula","portar","evento","docente","decorrer","vão","sporting","lisboa","antónio","jogo","ilegal","esperar","decorrer","segurança","durante","expectativa","javid","agora","bem","detetada","bar","países","on","brasil","vacinado","membro","brasil","positividade","serviço","surto","publicar","visitar","emitir","orta","adiantar"
"16","receber","inglês","mear","supermercado","elaborar","teletrabalho","metro","colaborador","comunicar","período","social","excecionais","garantir","independente","governar","mil","entregar","salários","setor","estabilização","trabalhar","aprovado","socialista","apoiar","prever","faturação","dar","dizer","vicepresidente","líder","divulgar","empresar","segurança","utilização","crianças","espetáculos","empresa","porque","relativamente","acabar","dor","mutação","portavoz","portar","acordar","mercar","esperança","trazer","encerrado","teatro","comunicação","crise","pib","governar","ser","públicas","vacinação","estabelecimento","vacinação","aula","distância","próximo","surto","atividades","reabertura","jair","correr","taça","saúde","medina","campeões","segurança","estádios","incumprimento","militar","noite","sintoma","entregar","dosar","solidariedade","social","vidar","cumprido","britânico","fumar","porque","realizar","estabelecer","dia","realizado","impor","grécia","diretamente","governar","sporting","positivo","administrativo"
"17","preparar","sublinhar","empresar","wuhan","cada","serviço","planar","uber","condições","contratar","área","editor","crédito","pagar","atividade","montante","assembleia","fomentar","feirar","executivo","iorque","esquerdar","emergência","projetos","retomar","braga","parecer","amador","afirmar","concerto","recomendações","pcp","realizar","primeiroministro","recomendações","violar","preliminar","banco","portuguãªs","economia","contra","apoiar","água","frente","pagamento","formar","estar","adiado","reunião","associação","cdspp","economia","fundar","críticas","imunidade","negativar","direito","estudante","poder","ricardo","resultado","ministrar","ciclo","câmara","luso","ribeiro","parque","determinado","almeida","público","restritivo","medina","governar","câmara","noite","conter","janeiro","levantamento","ilegal","visitante","world","zelândia","incentivar","seguir","profissional","estado","contacto","negativar","regressar","positivo","milhão","último","castrar","mãos","imposição","adepto","admitir"
"18","direçãogeral","evitar","maior","ano","serviços","limpeza","resíduos","comunicar","atividade","contrato","uber","social","iva","receber","apoiar","milhões","ajudar","apoio","independente","abranger","área","manual","pedir","valor","notar","trabalhado","verão","psd","rir","afirmar","direçãogeral","recinto","polícia","campo","le","mandatar","ano","receitar","base","portar","portar","fundar","fome","cumprir","hungria","poderão","profissional","apoio","lar","governar","confinamento","sanitária","bom","necessidade","medida","capacidade","tempo","secundário","sns","abrir","lista","distância","professor","reabrir","educação","reconhecer","igualdade","município","pública","jogar","ir","foto","incumprimento","gnr","contenção","braga","by","unido","misericórdia","curado","papar","atleta","fila","dólares","direito","the","vigilância","ir","saber","explicar","último","impactar","fonseca","cada","falso","decisão","adoção"
"19","individual","produto","aplicar","exemplo","acompanhante","grupar","acesso","funções","período","curry","silvar","dívidas","empregar","pagamento","serviço","verba","euro","atividade","leitão","milhões","lê","rejeitado","luís","orçamento","ver","retomar","agravar","multidisciplinar","riscar","público","palco","feira","evento","comité","necessitar","pai","irs","tap","setor","cristina","antónio","psp","empresários","solução","mecanismo","sns","mecanismo","afetados","perda","essencial","quadrar","estrangeiro","jornal","cds","enfermeiro","crise","março","reabertura","ministrar","público","professor","docente","importante","educação","munícipes","terrestre","alvalade","timorleste","valar","autarquia","ribeira","julho","ruir","pedrar","deter","psp","you","número","professor","fundar","this","afirmar","august","aconselhar","relacionado","social","aceitar","qualquer","causar","levar","planar","vagar","prestação","últimas","sistema","realização","adquirir"
"20","contactar","faltar","destacar","bairro","individual","colaborador","desinfeção","funcionar","emergência","loja","viagem","diplomar","temperatura","rendimento","nelson","investimento","aplicação","linha","adesão","área","julho","apoiar","respeitar","ajudar","linha","aprovar","riscar","elemento","mil","emergência","seixal","fiscalização","regra","parque","importante","passageiro","apoiar","dinheiro","setembro","cumprir","poderá","cercar","alojamento","água","semestre","estar","salário","coordenador","godinho","social","pcp","vidar","pagar","sns","significativo","real","sobrar","desconfinamento","educação","essencial","estudar","desconfinamento","câmara","lisboa","regra","presença","autotestes","bolsonaro","braga","autarca","inglãªs","música","pedrar","cidadãos","territorial","alcoólicas","pandemia","destacar","hong","twitter","diárias","jornalista","pcr","questionar","praia","brasileiro","surtir","contra","medida","dar","divulgado","criar","violação","vacinado","órgão","infetados","aérea"
