"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"11","cliente","trimestre","ir","banco","financeiro","financeiro","bce","dólares","descer","financeiro","mário","dólares","psi","principal","pandemia","bolsar","von","face","estimar","subir","ovelha","empregar","fronteira","alertar","pib","ine","fronteira","pib","internar","africano","atividade","facto","antónio","crise","planar","ministrar","assembleia","aplicação","ministrar","costa","máscara","máscara","reunião","nunes","caminhar","avança","informação","evento","hipótese","poder","fechar","aula","emergência","regressar","presidente","primeiroministro","responder","silvar","aeroporto","rebelar","constitucional","dizer","desconfinamento","países","comissão","condições","sobrar","joão","mostrar","discursar","portanto","saber","pedir","diferente","antónio","modelar","acusar","venturo","médicos","informação","decisão","considerar","presidente","decisão","alertar","invernar","adepto","governar","deputado","iniciativa","público","declarações","máscara","reunião","evolução","diretorageral","acordar"
"12","surtir","sublinhar","apple","breton","chinar","banco","financeiro","económico","crise","económica","índice","comissão","quedar","mil","internar","exdeputada","estadosmembros","trimestre","recuperação","mil","teatro","mil","abril","singapura","colaboração","economia","quedar","preh","transportar","efeito","economia","defender","primeiroministro","apoiar","crise","costa","conselho","negócios","parlamentar","estar","biden","estabelecimento","estabelecimento","sobrar","janela","investigação","hancock","agora","especialista","deputar","antónio","online","passar","psd","teletrabalho","estar","estar","vieira","respostar","ouça","diploma","recuperação","renovação","parlamentar","portuguãªs","dizer","questão","visitar","riscar","portuguãªs","rebelar","desconfinamento","sousa","sousa","sns","vieira","empresa","governar","sousa","esperar","marta","observador","trabalhar","ue","importante","associação","confiança","chefe","semanal","arquivar","creche","processar","delta","situação","podar","defender","acreditar"
"13","turista","período","podar","europa","euro","europeu","valor","banco","crédito","finanças","banco","dívida","crise","petróleo","valor","impactar","der","produto","ponto","consumar","abrir","mear","ponto","euro","venda","anterior","venda","enquanto","setor","quedar","forte","papar","milhões","ano","redução","negativar","governar","combater","alemã","comércio","cultura","lei","sempre","mostrar","alívio","respostar","cientista","melhor","governar","decretar","psd","líder","problema","dizer","considerar","dizer","considerar","sobrar","precisar","estar","lei","garantir","presidente","guerra","desconfinamento","governar","primeiroministro","processar","presidente","governar","vírus","ministrar","apelar","sevilha","fazer","medida","oposição","chegar","médica","presidente","acontecer","tudo","médicos","reabertura","responsabilidade","responder","algum","sobretudo","efeito","facto","trabalhar","querer","várias","saber","afirmar","calmar","acrescentar"
"14","situação","restaurante","marcar","ponto","dólares","perda","apoiar","finanças","pagamento","pagamento","siza","eurogrupo","financeiro","alto","lisboa","económica","crise","públicas","deverá","índice","descer","valor","venda","produto","desigualdade","cair","desempregar","ano","quedar","empregar","económico","cascar","euro","banco","trabalhar","república","república","presidente","ruir","representante","componente","faltar","cimeiro","médicos","respirar","viajar","miguel","lado","podar","infarmed","distância","presencial","governar","educação","turismo","defender","conseguir","pan","fazer","renovação","constituição","situação","social","sobrar","planar","imigrante","direito","durante","critérios","questionar","decisão","querer","europeu","algarve","saber","silvar","intervenção","vacinação","aberto","política","declarações","rádio","direçãogeral","outonar","presidente","fase","declarações","vidar","câmara","inquérito","vez","turismo","surto","portar","precisar","afirmar","adhanom"
"15","trabalhar","ano","prever","thierry","internacional","bolsa","dólares","centeno","petróleo","crédito","económica","índice","dívida","londres","cercar","crise","ue","exportações","ue","recuperação","milhões","cenários","del","maio","reunião","zonar","variação","economia","mãªs","respostar","face","mail","empresa","capital","economia","presidente","máscara","governar","reunir","inscrever","europeu","máscaras","prisões","longo","local","onde","dar","apelar","problema","ensinar","escolar","educação","andré","confinamento","silvar","começar","república","abrir","lembrar","reunião","tc","lembrar","costa","rebelar","primeiroministro","respostar","social","governar","barro","porque","ministrar","especialista","declarações","frança","primeiroministro","programar","estar","pedir","norma","parecer","graça","esperar","ajudar","acesso","planar","estar","vieira","luzir","escola","máscaras","principal","filho","relativo","portugal","população","efeito","adiantar"
"16","fevereiro","euro","chinar","consequências","empresa","crise","crise","apoiar","psi","mecanismo","dívida","preço","principal","parir","psi","contentar","economia","défice","economia","psi","jogar","hub","retalhar","primeiro","inquérito","ritmar","anterior","trabalhador","dívida","dólares","emprego","bcp","produto","vieira","governar","reunião","sobrar","conselho","fronteira","nazaré","gnr","sindicato","recluso","andré","ilegal","altura","petróleo","citar","ciclo","aberta","fazer","computador","porque","ruir","páscoa","líder","marcelo","apresentar","aqui","capacidade","presidente","bem","apoio","nunca","presidente","república","falar","combater","diferente","precisar","insistir","tudo","república","férias","contactar","acontecer","problema","saída","dúvidas","recomendação","conhecimento","presidente","explicar","ainda","dizer","marcelo","aderir","joão","hospital","crónica","sobrar","carlos","proteger","barro","gravar","população","administrativo"
"17","cancelar","maior","dever","setores","companhia","dólares","dívida","ponto","rendimento","ponto","principal","barril","dólares","bolsa","principal","encher","trimestre","crise","impactar","comissão","investidor","visitante","união","procurar","impactar","económica","abril","europa","podar","centro","desempregar","melbourne","mil","costa","formar","sousa","utilização","stayaway","nível","aprovar","enfermeiro","cabra","tirar","evolução","normalidade","antigo","alterar","vacinar","reunião","pan","decisão","sobrar","haver","escolar","regressar","desconfinar","ainda","estar","rir","planar","nenhum","claro","poder","diplomar","lei","medida","imigrante","marcelo","precisar","costa","pedir","emergência","ferrar","afirmar","profissional","jornalista","be","andré","decisão","vacinado","governar","primeiro","acesso","decisões","haver","vigor","restrições","afirmar","reinar","níveis","superior","summit","tentar","acontecer","especialista","eua","admitir"
"18","voar","surtir","turismo","incerteza","reduzir","apoiar","centeno","dívida","principal","ue","europa","banco","banco","frankfurt","comissão","principal","ursula","comissão","valor","valor","suíça","mês","milhões","quase","responsável","face","companhia","ine","fazer","medicinar","empresa","reunião","estratégica","pib","vieira","rebelar","ministrar","app","têm","portugal","públicos","almeida","duarte","redução","deslocações","programa","austrália","podar","tóquio","inscrever","porque","porque","momento","ir","ruir","planar","falar","medida","criticar","deputar","tribunal","parlamentar","vacinação","formar","antónio","decretar","situação","mensagem","perito","santo","critérios","precisar","antónio","estar","condições","pandemia","criticar","cds","defender","dever","contra","vacinar","ainda","outro","querer","desconfinamento","ministrar","regional","australiano","primeiroministro","pública","web","participar","epidemiológica","respostar","angelique","adoção"
"19","cancelamento","crescimento","março","europeu","produção","pagamento","crédito","pagar","pagar","países","praça","milhões","europa","milão","turismo","forte","planar","desempregar","receitar","união","tendência","centro","encerramento","final","crise","ue","cair","sindicato","acelerar","pandemia","impactar","agostar","europeu","pagar","comissão","comissão","individual","defender","união","guerra","sublinhar","europeu","usar","precisar","sinal","diminuir","vacinar","cama","ministro","especialista","silvar","encerramento","socialista","reunião","internet","planear","repetir","pedir","silvar","pedir","sousa","lei","testagem","comissão","presidência","social","responsabilidade","pcp","indicador","defender","experimental","decisão","afirmar","admitir","evitar","profissional","prr","porfí","doenças","fazer","apelar","ser","grande","melhor","proteção","funcionamento","saber","nacional","cruzeiro","variante","centro","rita","ay","propor","ghebreyesus","recomendar","adquirir"
"20","ano","pib","procurar","pataca","ocde","forte","económica","medida","apoiar","empréstimos","comissão","principal","economia","abrir","perda","perder","pib","financeiro","trimestre","mês","recuar","bolsar","agir","junho","estudar","europeu","empresa","permitir","parar","turismo","maior","junho","economia","siza","der","apoiar","bruxelas","lei","lei","setor","parlamentar","presidência","procurar","evitar","trazer","pedir","apesar","infarmed","permitir","silvar","crianças","criticar","líder","deputar","acolhimento","parlamentar","desconfinar","páscoa","planar","primeiroministro","fiscalização","presidente","planar","pcp","rebelar","acreditar","ir","república","combater","pedir","bem","variante","crise","matriz","deputar","presidente","garantir","precisar","vacinado","costa","agência","declarações","dizer","rádio","deixar","anunciada","antónio","praia","dólares","pública","hoje","final","situação","longo","tedros","doenças","aérea"
