"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"11","repatriado","cidadãos","regressar","boom","oms","vizela","forças","prisional","desobediência","violência","gnr","fiscalização","vigorar","católica","maio","levantamento","fiéis","fiéis","durante","rádio","algarve","setúbal","cargo","bombeiro","acrescentar","lar","francês","novo","durante","pjanic","julgamento","tour","cardeal","gonçalves","planar","testar","jogar","ronaldo","presença","federação","equipar","porfí","testar","submeter","iorque","missão","usar","trump","restante","portugal","regional","nacional","demissão","tvi","profissional","construção","câmara","observador","vacinar","melar","trimestre","primeiro","regional","melar","planar","twitter","administrado","população","receber","primeiro","vacinar","adulto","melar","task","completar","receber","segunda","agostar","ir","agostar","centrar","mil","vacinar","contra","gripar","cercar","gouveio","vacinal","ministrar","campanha","pessoa","receber","diretorageral","pessoa","gripar","terceirar","acordar"
"12","voar","sair","brasileiro","câmara","caso","timorleste","controlar","venezuela","decretar","obrigatório","estabelecimento","recluso","confinamento","maio","celebrações","armada","pandemia","propagação","polícia","presidente","grândola","jovem","intervenção","participar","emitir","máscaras","in","august","australiano","negativar","infetados","prudhomme","coronavírus","sessão","jogo","confirmar","clube","portuguãªs","isabel","testagem","realizado","clube","hong","alertar","diagnóstico","branco","uk","gnr","pouco","comum","atingir","cavacar","hospital","questionar","saúde","processar","cada","café","médicos","contra","coordenador","dosar","der","faixar","task","patente","pessoa","organização","primeiro","vacinado","pessoa","astrazeneca","autoagendamento","população","mil","completar","administrado","ir","vacina","melar","fim","fim","pessoa","apelar","campanha","existir","portugal","freitas","completar","ano","vacina","apenas","processar","ano","saúde","adulto","acreditar"
"13","ministrar","segundar","caso","condições","nigéria","autarca","pessoa","forças","recluso","doméstica","regra","estar","recolhimento","sábado","homem","celebrações","país","protocolo","internacional","preocupar","francisco","evento","mulher","dezena","fitch","infarmed","incêndio","mensagem","redar","plantel","futebol","revelar","estudante","cartar","público","programar","juventus","equipar","internacional","braga","isolamento","resultar","kong","principal","biden","chinar","at","presidente","urgência","mensagem","acompanhar","português","indevido","declarações","prioridade","vicealmirante","observador","médicos","henrique","forã§ar","idoso","população","leyen","task","inoculado","receber","europeu","patente","faixar","coordenador","população","totalmente","população","ano","processar","terceirar","receber","task","vicealmirante","taskforce","vacinar","tomar","aberto","vicealmirante","cercar","tomar","milhões","vacinar","idoso","totalmente","administrado","profissional","terceirar","terceirar","ema","riscar","acrescentar"
"14","chinãªs","início","início","luso","argélia","comentar","estar","obrigatório","ovar","decretar","obrigatório","norma","prolongar","celebração","celebração","deter","polícia","fátima","viver","fnam","carcavelos","pessoa","gnr","sociedade","futebol","acrescentar","segurança","grupo","sns","positivar","novo","resultado","técnica","mendes","sessão","equipar","positivo","visitar","redar","treino","macau","adiar","fpf","diretor","britânico","portavoz","by","transportar","indicação","religioso","leite","estrangeiro","cargo","prioridade","declarações","sindicato","adequado","defender","enfermeiro","profissional","vacinado","melar","von","administrado","twitter","may","der","oms","vacinado","pessoa","países","pessoa","vacinado","astrazeneca","agendamento","adulto","vacinado","dgs","ser","idade","henrique","centrar","percentagem","cercar","vicealmirante","aberto","gripar","administrado","saúde","administração","tomar","pessoa","secretário","freitas","elegíveis","ano","adhanom"
"15","viagem","aterrar","fevereiro","reter","pandav","forças","mercadoria","circulação","malheiro","estar","detenções","decretar","detenções","pessoa","deter","protesto","campo","santuário","sintra","realizar","dispersar","concelho","castrar","emmanuel","congresso","adicional","epidemiar","criticar","brasileiro","quarentenar","isolamento","ir","treino","comunicar","coordenador","futebol","programar","português","contactar","rápidos","regressar","suíça","funeral","internacional","alertar","biden","is","organização","defeso","estudar","saúde","miguel","processar","ser","médicos","coordenador","ir","sintoma","vacinado","carnaxide","centro","tardar","artur","coordenador","final","task","leyen","primeiro","pessoa","melar","faixar","completar","vicealmirante","esquema","gouveio","administrado","gouveio","completar","coordenador","autoagendamento","cercar","idade","contra","jovem","vacinal","momento","vacinar","tomar","primeiro","gripar","campanha","cercar","elegíveis","profissional","centro","medicamentar","adiantar"
"16","brasil","força","turista","tenerife","forças","alves","cabra","cidadãos","forças","confinamento","pena","polícia","fiscalização","despachar","peregrinação","prisões","resíduos","celebrações","levar","ordem","polícia","polícia","extremar","bispar","contagiar","vírus","trabalhar","apoio","novo","bolsonaro","atleta","paciente","deputado","cancro","prever","jogador","ligar","isolamento","casar","sintoma","encontrar","federação","junto","gestão","participar","hancock","not","decisão","criticar","força","efeito","bastonária","contra","considerar","segurança","associação","dever","bastonário","entrever","saúde","professor","trimestre","laje","totalmente","biden","proteção","von","vacinar","forã§ar","gouveio","administrado","semana","gouveio","mil","melar","janssen","aberto","tempo","agendamento","senha","população","completar","cercar","administrado","voltar","avançar","gratuito","planar","terceirar","vacinal","cercar","idoso","administrado","população","após","pessoa","administrativo"
"17","aterrar","marselha","partir","organização","responsável","estar","sef","sair","prisões","páscoa","crime","vigorar","recluso","fronteira","estar","confinamento","assinalar","vivar","assinalar","riscar","concelho","presença","assintomáticos","demonstrar","governo","world","material","primeiraministra","filipina","azores","campeões","hospitalizar","contactar","onu","estádios","seleção","positivar","vez","rápidos","mercar","cumprir","isolamento","taça","recuperação","vírus","ryan","estirpe","évora","bastar","to","profissional","associação","ordem","indevido","elemento","entrever","centro","cavacar","dizer","centro","saúde","gouveio","observador","planar","faixar","administrado","suspensão","pessoa","comissão","faixar","menos","agostar","fonte","primeiro","apelar","esquema","cercar","adolescente","primeiro","vacina","manifestante","vacinal","população","centro","idoso","ano","vacinal","receber","esquema","surto","noticiar","cidadãos","ir","janssen","população","milhões","admitir"
"18","marselha","parir","sob","pedrar","campanha","laboratório","crime","quarentenar","obrigatório","pena","libertado","administração","estar","ministrar","barreira","ramadão","juntar","aplicar","conter","federação","surtir","estabelecimento","internet","torr","exclusivamente","urbano","to","empresa","artigo","uefa","comarcar","bem","encontrar","negativar","rápidos","staff","testar","jogo","ricardo","grupar","consumidor","elemento","supremo","the","oms","kayleigh","reinar","administração","transportar","lado","manuel","serviço","profissional","contra","ser","vacina","cair","saúde","pausar","adjunto","vicealmirante","vacinar","vacinado","completar","ano","forã§ar","eua","doar","ano","vicealmirante","planar","faixar","disponível","faixar","população","processar","mil","henrique","receber","contra","contra","contra","casar","ano","contra","vacina","vicealmirante","cercar","administração","esquema","vacinal","dgs","vacinado","secretário","comunicar","ema","adoção"
"19","cidade","voar","aterrar","durante","isolamento","angola","ovar","ovar","emergência","prisões","administração","vigor","loja","assinalar","interior","reunir","fim","missar","dizer","guerreiro","aqui","dispersar","durar","vedro","parte","lista","elaborar","interior","provável","fda","plantel","elemento","gil","adepto","notar","ler","nações","estádio","jogador","internacional","new","avançado","inglaterra","mãªs","trabalhador","mcenany","arar","mudança","lê","quebrar","impactar","precisar","demitir","coordenador","escassez","aqui","direção","gravar","suspensão","ser","vacinar","idoso","limar","processar","estado","agendamento","contratar","europeu","completar","agendamento","desenvolvimento","etária","campanha","milhão","ano","modalidade","ir","crianças","tempo","vicealmirante","vacina","portuguãªs","militar","apontar","dizer","primeiro","vacina","mobilidade","cercar","cercar","esquema","ano","pessoa","aberto","dezembro","completar","adquirir"
"20","ir","pequim","condições","hotéis","defeso","estabelecimento","comercial","polícias","deslocações","emergência","psp","regra","obrigatório","durante","vaziar","vermelhar","espanhol","celebração","câmara","odiáxere","setúbal","após","zonar","homenagem","complicações","conhecimento","fundo","índice","trump","ficar","elemento","jogar","en","fábrica","jogador","aveiro","português","bem","ronaldo","após","treinador","quartafeira","colocar","diretorgeral","revelar","michael","twitter","donald","indicar","evento","ricardo","ativação","enfermeiro","sns","critérios","admitir","presidente","prioridade","planar","semanal","ordem","vicealmirante","vicepresidente","docente","vírus","primeiro","melar","proteção","ue","países","jornalista","administrado","tomar","centro","utente","jornal","forã§ar","médicos","agostar","agendamento","mil","população","modalidade","centrar","portugal","portugal","pessoa","processar","governar","proteção","processar","cobertura","covid","mil","processar","vacinado","aérea"
