"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"40","vítimas","from","humano","proveniente","básica","decisão","docente","instituto","fundação","maio","internet","física","reabertura","educativo","obrigatório","todo","afastar","procurar","resultado","assunto","ave","documentar","autoridade","concelho","isolamento","violar","suspensão","miguel","detetado","proteção","proteção","dois","aguardar","positivo","covid","encontrar","comunicar","hoje","profissional","portar","subir","detetado","évora","câmara","restante","domingo","funcionário","câmara","suspensão","vedro","proteção","trabalhador","arrancar","surto","contra","centrar","comunicar","nevar","empresar","altura","autorização","porta","orientação","sequência","ver","migrante","perceber","pretender","detalhar","pessoa","notar","território","dever","prova","estádios","fundamental","antar","semana","normalidade","casal","impor","atentar","janeiro","setores","lar","motivar","processar","extraordinário","pedido","revelar","países","facebook","aéreas","aplicação","afirmar","dificuldade","alemanha"
"41","mortal","post","provocar","companhia","twitter","in","pdt","social","isabel","ouvir","on","coronavirus","distância","tiago","condução","rastrear","tiago","abrir","sublinhar","seis","alterar","consequência","saúde","luso","sinal","apa","constituição","luís","direção","infetadas","residente","caso","unidade","quatro","indicar","maio","psp","resultado","resultar","trabalhador","provocar","publicação","câmara","idoso","infetadas","esperar","filipe","nomeadamente","adiantar","realizado","administração","oferecer","fonte","instituição","instituição","milhões","vacinação","olímpico","assegurar","excesso","cooperação","galeria","inquérito","permitir","ar","condições","ninguém","rádio","investigador","tudo","notícia","câmara","guardian","ausência","bori","maioria","desportivo","efeito","alargar","dj","profissional","resolução","profissional","dinheiro","obrigatória","anunciado","vacinar","modalidade","comprar","linha","usar","ouvir","condições","enviado","portuguãªs","observador","alertar"
"42","semana","south","potencial","academiar","funcionários","filho","shared","interrupção","quantum","estudar","todo","been","orientações","crianças","distanciamento","formação","velho","balnear","informação","luso","fatores","sentir","sextafeira","negativar","quartafeira","localidade","esquecer","alentejano","luzir","covid","profilático","autarquia","após","dois","identificar","subir","évora","covid","sines","câmara","pontar","acrescentar","qualquer","esperar","infetou","internar","beja","residencial","distrital","presidente","franco","ajudar","contra","felgueiras","administração","âmbito","combater","venda","deixar","hoje","sobreviver","monumento","almeirim","enquanto","acompanhar","aceitar","tribunal","ver","sobrar","saber","alterações","internacional","exterior","tardar","avançar","saber","festival","registado","decretolei","opções","defender","carlos","decisão","frente","medido","fernando","diário","ténis","sofrer","tornar","apontar","beirar","estirpe","precisar","laboratórios","feirar","alguém"
"43","vacinar","possível","partilhar","crianças","new","on","view","falta","coronavirus","antónio","período","computador","at","adiantar","secundário","associação","ministrar","aumentar","regiões","dificuldade","presencialmente","crianças","covid","cidade","presidente","prazo","catarino","condir","senhor","alcácer","profissional","adiantar","positivo","despir","civil","portavoz","município","portar","coronavírus","concelho","infetadas","onde","testagem","confirmar","kit","oito","total","coronavírus","saraivar","agência","aluno","após","cincar","misericórdia","proteção","fonte","regional","continuidade","determinar","and","lar","avenida","compreender","desenvolver","fim","força","ficar","distanciamento","polícia","campeões","sequência","alertar","ministério","período","luxemburgo","transportar","primeiroministro","pouco","regiões","rápidos","aqui","ciclo","junho","funcionamento","usar","função","ter","tornear","categoria","nível","governar","demonstrar","in","prazo","empresa","calamidade","algum"
"44","dois","janeiro","servir","educação","iraniano","medicinar","carenciado","away","coordenador","arar","escolar","memória","janeiro","dividir","coronavirus","on","pedir","instituições","apenas","mortalidade","prisões","região","vir","condições","sistema","frequentar","familiar","encerrado","público","encontrar","adiantar","hospital","testado","autarquia","obstetrícia","nove","tecnologia","medicinar","centrar","fonte","profilático","idoso","crianças","médio","despir","doente","geral","internar","nunes","testar","viana","três","colaborador","inquéritos","ajudar","vereador","pedir","retomada","urgente","autarquia","conjuntar","câmara","económicas","ministro","desconfinamento","protocolo","porque","declarações","claro","deixar","espaços","hotéis","espanhol","obrigatório","abrigar","oficial","centena","japonãªs","algum","rastreio","adulto","convidado","situação","condução","local","instituições","profissional","díaz","rápido","acordar","exterior","esperança","juntar","gratuito","económica","antigénio","alimento"
"45","dia","pessoa","wuhan","decidir","delegar","gomar","tecnologia","estudar","através","after","diretores","pm","crato","riscar","pobre","tested","conformar","profissional","relativamente","tecer","proximidade","repetir","atividades","funcionários","social","porque","cruz","contactar","josé","unidade","situação","sintoma","distrito","resultado","nove","infetadas","vila","indicar","morte","ativos","leiria","garantir","rir","caso","antónio","dom","real","positivo","pinhel","josé","todo","distrito","pastelaria","amador","centrar","disponibilizar","ir","pandemia","salvar","projeto","tocar","beber","lista","várias","centro","lamentar","reconhecer","sobrar","físico","segurança","festa","alterações","lar","lisboa","internar","fonte","sanitárias","semelhante","defender","repousar","prever","oferecer","governar","epidemiologista","vacinar","tap","assim","renovação","rever","elevar","individual","faculdade","militar","regressar","contratar","município","alto"
"46","who","médicos","equipar","cancelar","with","limar","almoço","diplomar","corpo","family","telescola","plataforma","filho","apanhar","garantir","item","rigoroso","novo","surtir","usado","sanitárias","significativo","isolamento","ter","semelhante","perito","família","cercar","fonte","continuar","covid","francisco","decidir","trabalhador","isolamento","fonte","encontrar","funcionária","autarquia","rastrear","universo","auxiliar","sequência","resultado","chegar","denunciar","ter","resultar","sintoma","hoje","técnicos","morte","portar","presidente","anunciar","beirar","objetivo","preparação","documento","cooperação","segurar","psp","consequências","online","observador","entrado","imigrante","entrever","resolução","matéria","impor","começaram","pedir","avisar","metro","junho","javid","desporto","marcar","antigénio","medido","alberto","coronavírus","comício","avança","posição","fim","câmaras","inoculação","comprar","marcelo","liberdade","programar","adiantar","concelho","nazaré","altura"
"47","sars","testar","sequência","morte","filho","suspender","erasmus","famílias","twitter","telescola","estudante","pai","acesso","quilómetros","vigiado","pedagógica","fatores","manhã","assembleia","is","caso","fundar","informar","declarações","ana","água","autarquia","linha","associação","profissional","braga","covid","trabalhador","distrito","santo","quintafeira","diretor","alentejo","realizado","doente","quatro","relacionado","sete","oito","sete","provedor","mendes","vinho","permanecer","comunicar","covid","josé","diariamente","escola","fundar","covilhã","criado","informação","aceitar","conselho","desenvolver","metro","esplanada","gouveio","decorrer","ministro","planar","continuar","alterar","avançada","passar","hotelaria","utente","público","campeonato","voltar","surtir","adepto","explicar","partir","incluir","créditos","ir","incêndio","última","misericórdias","aéreas","odivelas","comunidade","criar","negócios","presidência","suspeito","ema","podar","moreira","âmbito"
"48","doenças","vários","parecer","ministério","deco","casar","at","pm","with","terceirar","próximo","positivar","instituições","pedir","sempre","ver","coronavirus","básica","principal","alexandre","new","proteger","detetados","após","deputado","conter","neste","explicar","resultado","negativar","operacional","dizer","subir","agência","quatro","trabalhador","detetados","enfermar","estruturar","operacional","município","mulher","destinar","vila","cincar","cho","reinfeção","táxis","positivo","santo","presidente","oito","prosseguir","epidemiológicos","destinado","diligências","mobilidade","disponibilizar","mudar","executivo","online","claro","ramo","responsável","essencial","pedrar","condições","respeitar","instruções","images","serviços","oposição","manter","chefe","rainho","após","funcionários","estender","receber","finlândia","pouco","holandãªs","neste","mobilidade","linha","pago","cancelamento","laranjeira","taxa","lei","preparar","relevante","económica","observador","após","abrir","ambos"
"49","doença","contactar","comunidade","partir","externato","school","march","new","be","todo","avaliação","desigualdade","construção","creche","municipal","ano","rodrigar","tiago","apesar","ninguém","secundária","contactar","direçãogeral","significar","gerir","cafés","pessoa","negativo","terçafeira","nove","póvoa","positivar","estabelecimento","onde","divulgado","quartafeira","profissional","cincar","real","ua","negativo","testado","três","fonte","agência","isolamento","presidente","salivar","coronavírus","portar","tender","morrer","trabalhador","solidariedade","alargado","estrelar","produtor","circular","prosseguir","horar","contudo","morrer","dgs","cliente","definido","ninguém","forças","empresa","mesa","ar","referir","aberto","ministrar","praticamente","velocidade","emergência","máximo","is","israelita","concordar","consecutivo","requisito","empresa","enviado","anterior","ahresp","companhia","ranking","reabertura","mensagem","resposta","lançou","operador","instituições","ministério","procurar","ameaça"
"50","apenas","sintoma","tudo","all","mexer","reitor","férias","justificado","avós","bloco","tested","crescimento","redar","higienização","and","distanciamento","cujo","eliminação","encontrar","casar","promoção","surtir","crianças","crianças","carlos","zona","testado","precaução","civil","sal","resultar","restaurante","adiantar","restante","vidar","oito","armada","subir","covid","sete","apresentar","identificar","planeamento","infetada","francisco","despir","precisar","morte","freguesia","infetadas","civil","coelho","beja","alentejo","dourar","isenção","viver","munícipes","emitido","desenvolver","demonstrar","brasileiro","ir","saber","concertar","vir","concelho","haver","lotação","espaços","permitir","concelho","impor","membro","começar","acabar","emergência","precedente","impactar","pedido","mulher","traduzir","facto","preço","coronavírus","nobre","financeiro","pessoa","produzir","português","vídeo","volumar","económicos","lentar","realização","população","américa"
