"","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-04"
"17","luso","problema","pedir","eventual","afirmar","costa","falar","reunião","antónio","estar","assembleia","emergência","marcelo","criticar","questionar","mário","económica","orçamento","cargo","república","próximo","governar","presidente","agora","sessão","fuenlabrada","diretor","alerta","protestar","contar","eua","diários","travar","chris","adiantar","vigorar","responder","governar","economia","poder","agora","defender","questão","costa","nacional","ir","chefe","sobrar","profilático","ter","sintoma","forças","acusar","oposição","diplomar","independente","associações","turismo","setor","associação","valor","ministrar","final","opinião","ajudar","manifestar","restauração","estabelecer","prever","civil","obrigar","utente","executivo","retaguarda","públicas","quartafeira","covid","sábado","criar","provar","ditadura","navio","corresponder","ação","dezena","crianças","neste","morrer","porque","explicar","mudar","faltar","luís","albuquerque","conselho","fiscalização","admitir"
"18","rádio","fim","transportar","permitir","sobrar","deputar","ir","sousa","defender","república","defender","medida","porque","república","confiança","precisar","lay","ir","psd","ministrar","costa","solução","frente","respostar","responsáveis","admitir","lari","sistema","eduardo","recentemente","oms","covid","humanar","aml","mês","adão","parlamentar","votar","proteger","agora","estar","partido","decisão","deputado","companhia","medida","testar","chefe","sobrar","ir","conhecer","godinho","sentir","economia","parceiro","propor","discoteca","godinho","cultura","crianças","medida","aprovar","fundar","municípios","sábado","movimentar","bolsar","oxigénio","restauração","casa","apoio","considerar","serviço","arouca","silvar","mil","assembleia","polícia","esperar","digital","vacinação","notícia","através","lotação","robalo","mulher","prevenção","alvo","casar","mudar","crime","afp","negativo","infarmed","falar","adequado","adoção"
"19","sempre","falar","parlamentar","ministrar","necessário","primeiroministro","podar","deputar","precisar","votar","retomar","gostar","rir","deputar","estabilidade","estar","off","porque","responsabilidade","rebelar","falar","falar","planar","líderes","responder","recuperação","ministrar","ligar","quantum","central","além","universidade","inconclusivo","regra","prevenir","novembro","viabilizar","orçamental","crescimento","belém","procurar","ps","fazer","reunião","direto","positivar","república","ver","contactar","candidato","fazer","renovar","avança","evers","ministrar","criticar","social","médias","pequeno","recuperação","independente","godinho","moda","aprovar","porque","exigir","desigualdade","viver","turismo","comunicações","aquisição","final","considerar","agostar","humano","final","portugal","restaurante","digital","polícia","itália","desportivo","vacinar","processo","governar","governar","acelerar","beja","distrito","células","após","alemão","pagar","governar","aeroporto","operação","adquirir"
"20","declarações","estudar","técnicos","jornalista","capacidade","antónio","primeiroministro","presidente","falar","querer","saber","partido","sousa","parlamentar","política","orçamento","partido","sobrar","manifestações","porque","deputar","fazer","partido","cumprir","estratégia","portuguãªs","madrid","ciclo","adulto","marta","estabelecer","refugiado","adequado","através","chanceler","responsável","planar","lembrar","económica","parlamentar","decretar","propor","sobrar","chegar","votar","governar","diretorgeral","cabo","exceção","profilático","concordar","chefe","nome","presidencial","conselho","teletrabalho","setor","pã´r","economia","assinalar","financeiro","segurança","investimento","festa","próximos","planar","nível","algarve","digital","digital","projetos","distrito","controlar","jornada","família","contexto","poder","frança","entrar","obrigatório","encerramento","ajuntamento","cercar","consultor","forte","contra","garantir","estáveis","gaiar","bombeiro","sanitária","sintoma","tribunal","usar","parlamentar","fazer","aérea"
"21","economia","mal","cercar","aylward","rebelar","podar","declaração","testar","reunião","precisar","tudo","falar","primeiroministro","vir","sousa","silvar","defender","república","república","sobrar","porque","psd","rebelar","recuperação","sair","acusar","imigrante","deter","adequado","acontecer","máximo","sete","hospitalizar","conselho","angela","menos","entregar","iniciativo","face","partido","responder","decretar","aprovar","presidente","vacinação","reunião","profilático","testar","parlamentar","primeiroministro","parlamentar","presidente","domingo","rebelar","ministro","desenvolvimento","grupo","ana","linha","despesa","despesa","famílias","pagar","desde","fernandes","escritor","livrar","regra","dá","congresso","economia","apoiar","ajudar","crer","comunicar","líder","câmara","esplanada","últimos","vaticano","promover","beber","empresar","protestar","certificar","parir","colocar","cubar","liberdade","faltar","notar","positivar","sintoma","pedrar","testar","agências","aéreas"
"22","português","parecer","assegurar","transportar","lei","ser","deputado","plenário","decretar","medida","precisar","cds","podar","tão","responder","responder","república","parlamentar","orçamental","financeiro","nenhum","efacec","fazer","reunião","república","setembro","enfrentar","madrid","mudar","homem","tanto","desde","estudar","televisão","prejuízos","autoridade","recuperação","mariano","considerar","economia","sobrar","parlamentar","empresa","rebelar","tap","deputar","oficial","fazer","medida","resultar","january","antar","madrid","ver","excecional","apresentar","câmara","ministrar","efeito","melhor","rendimento","josé","federações","gabinete","comissária","fundar","linha","marta","cimeiro","acordar","manifestar","hoje","formar","forte","neste","lopes","governar","ginásios","sns","ensinar","longo","cobertura","vacinado","manifestações","através","produção","podar","lacerda","obrigação","contra","surtir","cama","suspender","vacinação","república","nova","aeronave"
"23","esperar","facto","equipamento","assumir","entender","marcelo","precisar","saber","deputado","saber","ouvir","estar","venturo","catarino","auditoria","falar","reunião","crise","tap","mário","ensinar","joão","porque","tempo","garantir","perante","paulo","viajar","onde","argentino","maio","manuel","ministério","objetivo","governar","sanchéz","joão","respostar","grande","constitucional","caça","falar","ser","cds","antónio","relatório","ir","jogador","venturo","negativar","estar","costa","chefe","rápido","chefe","social","navio","abranger","subsídio","barro","pedido","governar","mulher","saudar","localidade","retomar","hoje","junho","localidade","setores","idoso","sindicato","federação","mercar","falar","misericórdia","digital","utilização","cinema","itália","superior","emitido","pessoa","milhões","pedrar","células","reduzir","distrito","naquele","diárias","juntar","continuar","terçafeira","tomar","ministro","fim","aeroporto"
"24","importante","têm","receber","necessidade","ministrar","governar","liberdade","fase","portuguãªs","ter","debater","decisões","deixar","marcelo","cds","saber","estar","planar","rebelar","centeno","impedir","dinheiro","importância","república","proteger","esperar","preparar","aeroporto","defender","fogo","sessão","pessoa","stayaway","reunião","usar","quadrar","ir","mesa","apontar","perder","combater","primeiroministro","reunião","vacinação","médico","deputado","europeu","benfica","manter","participar","resultar","mendes","família","rever","perito","empregar","visita","atividade","extraordinário","necessidade","questão","fundar","câmara","suportar","alojamento","anunciar","principal","balnear","despesa","ordem","comércio","orçamento","melhorar","distrito","serviço","moratória","cidadão","fim","interromper","brasileiro","medido","figueira","decorrer","pcr","processar","froes","presentar","irá","vacinação","pavilhão","sintoma","região","encerramento","esperar","questionar","marta","afetadas"
"25","mundo","pessoa","afirmar","parlamentar","visitar","presidente","graça","líder","sousa","governar","correr","intervenção","ouvir","tempo","dinheiro","líder","antónio","cds","estar","portuguãªs","presencial","cerimónia","sobrar","governar","união","saber","poder","madeirar","coreia","ligações","partir","sanitária","sistema","vagar","mecanismo","manter","investimento","bloco","pcp","direito","setor","sousa","ir","dizer","associação","sobrar","logística","mil","confinamento","poder","mayan","medida","mim","país","marcelo","salários","optar","restauração","micro","lenir","extraordinário","valor","fim","candidatura","artista","horário","despachar","enfrentar","bolsa","restaurante","código","assegurar","subsídio","tomado","recurso","viçosa","comprar","usar","desigualdade","trazer","manter","foz","destinar","testar","realizar","protestar","doente","abrir","médico","ir","pública","guardian","biden","ruir","decisões","rebelar","afetados"
"26","redar","jornalista","único","stock","marta","querer","defender","sales","contenção","sousa","governar","perguntar","psd","correar","deputado","presidente","líder","questionar","governar","merecer","primeiroministro","nacionalização","república","marcelo","recuperação","final","riscar","pandemia","algum","coreia","manuel","representar","consumar","milhões","rapidamente","chegar","psd","esquerdar","teletrabalho","lembrar","questionar","cds","natal","pcp","restritivo","contactar","infetado","frente","frisar","aguardar","antónio","vigor","digital","rir","rebelar","fundar","salário","quebrar","turismo","investimento","empregar","quebrar","circular","ir","hotelaria","altura","valor","precisar","leão","médicos","adversar","coimbra","secundários","algum","esclarecimento","dado","impedir","alterações","protesto","restaurante","usar","protestar","exigir","mil","assim","votar","sanitárias","internacional","sanitário","acrescentar","vir","outro","isolamento","máscara","responder","empresa","afirmar"
"27","tomar","ter","crise","lado","hospital","porque","deixar","ter","fase","líder","rebelar","críticas","afirmar","venturo","governar","ruir","bento","podar","importante","perguntar","jovem","rei","vir","sousa","comunicação","joão","acrescentar","quantum","anunciar","preparar","filmar","faixar","equipamento","cenário","hidroxicloroquina","sns","importante","investimento","anterior","assembleia","começa","infarmed","qualquer","antónio","ir","almoço","pedrar","ano","terminar","infetado","participar","candidatar","maneiro","falar","abril","república","verba","empresarial","ir","atividade","mear","trabalhar","adiado","setor","capacidade","perder","bar","conjuntar","conjuntar","exemplo","moçambique","máximo","elemento","regional","solicitar","quantidade","educação","confinamento","manifestações","qualquer","quartafeira","manifestante","francês","semana","durante","melbourne","incluir","concelho","área","querer","apenas","casar","situação","ir","exigência","apavt","afp"
"28","nenhum","haver","tempo","questionar","serviço","respostar","sobrar","podar","deputar","questionar","aqui","cortar","poder","idear","martim","partido","questionar","finanças","coisa","economia","jornalista","privado","especialista","emigrante","próxima","competição","conseguir","decorrer","enviar","contágio","reforma","estabelecer","confinamento","então","partilhado","tirar","negocial","crise","parceiro","apoiar","falar","marcelo","rebelar","planar","certeza","presidente","emmanuel","conter","rodrigar","january","profilático","publicar","testar","contar","confederação","perder","mínimo","financeiro","reforço","global","atividade","extraordinário","município","crise","produção","impor","referir","madeirar","suportar","encerramento","segundafeira","leiria","fnam","propor","ajudar","manifestar","deter","notícias","parir","francãªs","arrancar","contágio","mercar","luso","doente","riscar","durante","trabalhar","vacinal","estar","confinamento","publicação","presidente","ouvir","aéreas","sobrar","áfrica"
"29","chow","empresa","crianças","esperar","andré","cama","poder","destacar","ter","ruir","pensar","cerimónia","fase","rebelar","deixar","pagar","crise","estabilização","deixar","falar","ruir","estar","crise","onda","confiança","melhorar","cancelamento","contágio","seul","onde","continuar","árabes","crise","presidente","diogo","máscaras","negociar","apontar","algum","permitir","direito","sobrar","psd","deputar","observador","debater","portar","profilático","cds","ana","portuguãªs","críticos","apoiar","chefe","presidência","família","remuneração","provar","público","papel","mês","capacidade","ir","apoio","sanitárias","casino","turista","atual","espanhóis","horários","trabalhador","venezuela","saídas","provocar","mil","cercar","movimentar","euro","aplicação","arrancar","aguardar","lotação","suficiente","sanitárias","escola","primeiro","conselho","três","profissional","achar","ano","perda","decisão","observador","ficar","vieira","agência"
"30","ping","mundo","redar","difícil","carlos","medida","crise","melhor","líder","rebelar","contenção","governar","possível","cigano","fazer","ir","rebelar","adão","especialista","champions","parlamentar","jornalista","haver","assim","antónio","uefa","sima","isolamento","determinar","ministrar","logo","gerir","transmissão","rir","solução","orçamento","portuguãªs","economia","poder","debater","presidente","comunista","defender","governar","criar","haver","estar","sair","poder","mayan","benfica","integrar","ver","seguir","suspender","comércio","propor","graça","anunciado","social","biliões","vieira","março","avanço","viagem","subsídio","combater","ministério","desempenhar","animação","mãªs","desenvolver","impactar","medida","executivo","vila","combustíveis","comprar","johnson","profissional","contágio","filar","dinamarca","presidente","brasileiro","filipe","profilático","ligeiro","doente","conseguir","abrir","analisado","luso","gravar","deputar","turismo","agências"
"31","pessoa","qualquer","josé","tudo","saber","temer","ministrar","emergência","proteger","ps","economia","maio","momento","ouça","reunião","finanças","precisar","ouvir","ciclo","cerimónia","suplementar","ir","nuno","portuguãªs","app","utente","tour","federação","produto","necessidade","abaixar","reitor","facto","públicos","silvar","pã©ni","condições","porque","precisar","rodrigar","possível","porque","aplicar","assembleia","reestruturação","celebrar","onde","túnel","renovação","escrever","deixar","salvador","tribunal","eua","salário","condições","milhões","fonseca","investimento","fevereiro","pago","recuperação","comunicar","promover","tempo","profissional","durante","colocar","consumidor","podar","mil","empresa","extraordinário","quantum","porto","sob","recente","possível","travar","medicamento","lutar","usar","prejuízo","equipamento","restaurante","itália","assim","coisa","mil","contactar","casa","recorrer","entanto","combater","quadrar","conjuntar","agora"
"32","tempo","passar","problema","tentar","margem","responder","ninguém","números","psd","coisa","sociedade","exemplo","medida","responder","precisar","porque","ainda","investimento","continuidade","contribuição","tap","coisa","políticos","fundamental","transparência","díaz","grande","preparação","contágio","fechar","avançou","rigoroso","serviços","acordar","essencial","vão","ministrar","europeu","mesa","declaração","conseguir","sentir","portuguãªs","pan","familiar","pedrar","união","combater","dia","fazer","jogar","oposição","fazer","servir","letivas","associação","confederação","trabalhar","entidade","riscar","sóciosgerentes","investimento","municipal","lugar","dever","parcial","semana","crise","terminar","advogar","publicar","municípios","enfermeiro","alertar","primeiroministro","poder","disponibilizar","passar","maioria","agora","viagem","fazer","protestar","escalar","with","painel","guardian","turismo","completar","força","contactar","extraordinário","dizer","arquipélago","margem","recuperação","agricultura"
"33","apesar","vírus","lado","querer","disponíveis","privado","pcp","questionar","fazer","chegar","fundamental","ter","crise","modelar","catarino","sousa","política","nunca","mandatar","passar","achar","badajoz","conjuntar","olhar","temer","oposição","manifestar","atleta","sindicato","apelar","tomar","rita","médicos","propagação","defender","evolução","sobrar","planar","ajudar","natal","rebelar","siza","partir","quadrar","poder","trabalhar","semana","executivo","estar","qualquer","finanças","positivar","comissão","entender","dependente","serviços","atividade","mês","abril","aumentar","âmbito","siza","atividade","ajudar","conhecer","mobilidade","abertura","presidente","norma","programar","recuperação","obrigar","manter","cercar","ana","problema","outro","portavoz","jovem","primeiroministro","cinema","obrigar","garrafa","japonãªs","polícia","professor","várias","vietname","cincar","iorque","tardar","om","garantir","função","sobrar","falar","aguardar"
"34","considerar","portuguãªs","dizer","medicamento","assumir","hospital","saber","querer","importante","responder","deputar","riscar","assembleia","crise","parlamentar","bom","recuperação","martim","rir","esconder","atrás","participação","conselho","sair","qualquer","testar","esperar","garantir","realizar","altura","críticas","ministério","chegar","olímpicos","sistema","donald","conhecer","sobrar","mãªs","rebelar","insistir","direito","tudo","situação","ter","cabra","responsabilidade","recordar","rir","amanhã","perceber","deverá","ajudar","criticar","promulgar","técnicos","republicano","querer","meter","trabalhador","cultura","base","autarquia","recuperação","setores","hotelaria","apoiar","hoje","médicos","turístico","âmbito","portuguãªs","funchal","sublinhar","açores","combater","alterações","mercar","paciente","residente","propor","várias","intervalar","naquela","conhecimento","ouça","câmara","chamada","japonãªs","produzir","correar","praticamente","suficiente","eleições","controlar","esperar","ainda"
"35","governar","confiança","comunicação","mal","falar","defender","sales","aqui","presidente","ir","cds","coisa","aqui","nadar","andré","económica","banco","privado","secretária","governar","ministrar","ter","olhar","período","mil","respostar","províncias","campeões","públicos","animal","alertar","contacto","entidade","perito","ministério","distanciamento","respostar","desafio","controlar","antónio","descansar","natal","planar","agora","permitir","videoconferência","dizer","riscar","olhar","gomar","estará","manuel","levantamento","chegado","central","rtp","relativo","retomar","executivo","layoff","pagar","referência","estabelecimento","final","retomar","pedrar","diário","empresa","além","provocado","partir","publicado","vacinação","social","testar","confinamento","permitir","antigo","impor","âmbito","provável","social","sobrar","roma","guterres","médicos","diretamente","feirar","notícia","física","assistir","sal","adotar","estar","defender","silvar","airbus"
