"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"35","fear","investor","london","apartment","pyongyang","important","without","disney","lightfoot","nonessential","april","gathering","news","get","guideline","statewide","kentucky","florida","today","department","hospital","business","phase","holiday","texas","require","gov","maintain","additionally","release","allow","sept","office","food","activity","queen","takeout","spring","regard","care","sevenday","bill","today","strong","sen","individual","survivor","community","numb","club","cost","spain","hold","pm","statewide","approve","feel","require","cooper","within","new","queensland","club","ease","greek","uk","event","dc","adopt","guideline","allow","friday","site","care","come","affect","use","former","dr"
"36","trade","inside","express","military","rest","check","resort","entertainment","delivery","effect","parson","bill","bill","covering","arrest","georgia","rule","additional","yesterday","covid","case","greg","palm","andrew","spread","wear","france","extend","checkpoint","september","ask","blasio","customer","wear","away","release","andrew","rate","red","red","add","reach","governor","handle","andrew","across","due","dec","hard","de","percent","proceed","festival","march","add","table","restriction","bar","worker","able","gov","gym","industry","website","hour","time","announce","enforce","resident","social","individual","agency","summer","university","know","affiliate","still","commissioner","former"
"37","street","empty","life","want","cancellation","prepare","change","open","bar","beach","church","press","cover","california","couple","officer","horse","stage","department","hospital","low","law","closure","atlanta","desantis","people","andrew","area","fine","requirement","area","stayhome","require","facility","distance","department","kemp","office","block","bill","accord","system","average","lot","trigger","mitigation","rhode","return","statement","increase","turner","bill","dine","schedule","ahead","stake","hospitalization","bill","implement","traveler","release","monday","expect","restaurant","airport","day","tourist","prayer","june","news","several","monday","open","national","necessary","african","center","grant","month"
"38","able","wife","policy","twitter","give","system","diagnosis","effect","newsom","connecticut","announce","plan","albany","decision","tweet","resident","police","arkansas","conference","increase","continue","ron","announce","justice","see","french","tell","delta","sununu","fine","enforce","maryland","maryland","less","join","say","uptick","brooklyn","jersey","voter","say","covid","keep","mat","rate","strategy","quarantine","car","de","request","result","positive","regional","hold","allow","limit","new","contain","though","studio","outbreak","normal","open","proof","space","traveler","prime","music","european","individual","away","guideline","public","public","part","afternoon","possible","six","company"
"39","us","child","wear","apply","york","wildlife","abundance","mall","start","de","number","county","people","base","place","closure","spike","reed","covering","site","since","news","department","turner","justice","will","rate","order","ohio","public","city","activity","facility","reduce","restaurant","business","queen","violation","contact","mitigation","bill","community","hospital","different","time","threshold","believe","droplet","postponement","keep","office","due","change","bill","play","ease","store","island","coronavirus","bar","line","restaurant","restriction","england","announce","good","holiday","dine","andrew","service","million","pandemic","tuesday","announce","tell","agency","statement","slow","evaluation"
"40","world","wear","twitter","amid","able","safe","system","drive","go","edwards","chicago","open","island","bill","county","river","department","news","california","right","next","see","andrew","indoor","add","corpus","spread","travel","lamont","lamont","six","dine","whether","air","dine","tier","religious","occupancy","day","recently","probable","citys","los","west","class","room","morgue","screening","blasio","season","incoming","summer","number","real","news","rollout","year","operation","international","table","limit","policy","test","approach","game","cuomo","governor","good","south","per","result","away","add","still","los","ago","always","lot","whole"
"41","another","try","daily","japans","advice","hard","roll","eat","say","home","watch","yorker","sense","kemp","business","reservation","plant","move","murphy","percent","jersey","ducey","indoor","business","florida","jersey","room","baltimore","special","citation","giménez","gathering","will","live","covering","venue","also","news","outside","court","covid","wave","angeles","close","need","want","dr","teacher","remainder","closure","impact","premier","cancel","restriction","summer","rate","just","seat","maintain","gym","allow","distance","even","context","can","fan","flight","include","quarantine","governor","across","free","national","enter","open","agree","difficulty","administration","possible"
"42","empty","spend","fear","mask","wear","quickly","zone","serve","garcetti","louisiana","service","lamont","will","statewide","orange","paris","sign","want","photograph","pickup","news","houston","today","miami","leader","age","san","quarantine","local","herbert","situation","restriction","executive","distance","square","andrew","gathering","level","transmission","wisconsin","reason","rise","indoor","positive","issue","weekly","recently","louisiana","nfl","new","use","reserve","real","potentially","japan","normal","start","additionally","add","kluge","change","prevent","back","york","restriction","music","enforce","theater","outdoor","group","set","guest","nfl","day","organization","ahead","cnn","time","worker"
"43","bad","since","room","southern","containment","station","tonight","say","gathering","chris","store","federal","get","mask","kelly","leave","hospitalization","issue","see","resident","begin","number","close","wear","bottom","rise","affiliate","issue","monday","say","de","hogan","connecticut","plan","five","news","nine","across","conference","decline","fatigue","nation","double","citys","national","platform","return","sheriff","aap","gov","say","line","michigan","suga","jersey","feb","will","oklahoma","site","dine","outside","child","airport","add","must","green","permanent","state","governor","mask","begin","port","california","covid","practice","aid","attribute","scott","francisco"
"44","back","online","hand","visit","tell","north","run","fitness","press","island","news","get","michigan","law","huntington","news","stayhome","activity","decline","daily","see","people","abbott","georgia","issue","positive","liquor","florida","estimate","enclose","announce","tom","increase","contact","executive","guideline","order","dine","add","mask","symptomatic","area","feel","justice","multiple","suspend","gov","academic","individual","vatican","close","ongoing","rate","star","league","gathering","bar","blasio","line","across","require","los","surface","work","may","service","visitor","negative","still","normal","next","ready","aug","pandemic","poll","aim","receive","medical","clinical"
"45","already","asian","keep","wear","many","toy","multiple","liquor","tuesday","bill","hutchinson","watch","datum","require","newsoms","illness","see","sign","positive","enter","back","real","newsom","carlos","young","discuss","different","measure","queen","advisory","georgia","yellow","open","amount","take","citywide","department","ten","roll","new","positivity","jersey","reopen","jump","education","mat","exposure","certificate","weekend","brown","art","supply","impact","rate","number","restriction","door","environment","business","hour","people","set","blasio","current","reopen","measure","scott","declare","unvaccinated","tuesday","site","desantis","receive","case","feel","air","live","much","complete"
"46","outbreak","index","wait","guideline","life","flight","set","must","hospitalization","phil","newsom","will","recommend","georgia","capitol","rule","health","one","southern","result","boom","suarez","advisory","see","get","customer","maintain","yesterday","citys","state","issue","fame","home","containment","wide","rockland","shut","relation","toronto","sevenday","average","near","system","throughout","newsom","distribution","island","digital","vs","kevin","miss","august","prove","question","announce","near","enforce","interaction","rise","york","department","gathering","outdoor","population","stand","subject","complete","entertainment","effective","include","wednesday","philadelphia","night","time","death","aircraft","raise","wave","final"
"47","stay","react","record","weekend","always","china","colorado","property","open","ron","kemp","guideline","louisiana","wait","michigan","investigate","care","executive","low","watch","tweet","happen","distance","citys","federal","commissioner","iowa","enforce","independent","open","cover","seaver","table","beach","add","state","authority","enforcement","walsh","restaurant","epicenter","staff","policy","education","majority","basis","grow","plateau","match","overall","fan","train","program","uefa","permanent","pm","gather","gym","per","result","may","england","californias","take","without","july","minister","gathering","place","people","government","statewide","executive","people","chief","airline","moderna","million","currently"
"48","time","east","asia","small","association","event","decision","hotel","gym","rhode","peak","driver","remind","arrive","violation","tweet","florida","begin","two","little","florida","alcoholic","texas","de","back","recommend","indicator","today","house","capacity","decide","age","operate","bastian","carolina","average","remain","virginia","raimondo","small","keep","region","tweet","within","grade","return","build","monroe","within","commercial","arena","express","year","august","chancellor","long","sacramento","jim","stay","order","open","outbreak","regular","still","requirement","park","rule","big","bowser","quarantine","bar","june","dashboard","white","start","airport","collins","something","san"
"49","town","many","allow","share","shincheonji","angeles","station","citys","also","abbott","limit","people","california","county","gavin","yorker","casino","texas","space","pentagon","fine","beverage","new","require","ask","requirement","establishment","since","call","business","place","hall","place","miamidade","space","public","community","declare","andrew","leader","state","californias","orange","area","ducey","back","director","will","fraud","puerto","nba","quarantine","kill","ahead","site","complete","society","paulo","support","limit","statement","reopen","distance","mean","operate","app","begin","mayor","paulo","scott","camp","statement","friday","access","ask","airway","coronavirus","four","tell"
"50","come","panic","grocery","instead","travel","trade","chicago","distance","monday","dewine","gathering","michigan","subway","southern","get","like","phil","today","must","icus","across","yakima","fine","think","require","large","table","compliance","rate","threshold","territory","citys","visit","layoff","relax","bay","today","cnn","remote","limit","mask","mandate","educate","mass","ad","issue","three","funeral","high","two","tax","likely","size","cancel","tuesday","surge","carolina","turnaround","service","set","world","need","dc","allow","place","sport","day","gather","news","additionally","put","pm","reopen","advice","fall","alaska","national","dose","quarter"
