"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"39","show","daily","grief","transparency","praise","february","schedule","womens","possibility","world","relief","june","struggle","japans","detection","spirit","offer","distance","asia","world","academy","calendar","resume","leave","club","uc","back","campus","athletic","online","teacher","county","statement","weekend","college","college","announce","campus","quarantine","staff","stop","athlete","nfl","announce","host","quarantine","private","cause","see","transmissible","work","publish","michigan","see","occur","analyze","new","infection","appear","warn","supply","current","circulate","priority","reason","small","distance","member","governor","mandate","among","now","delaware","phase","approach","test","experience","news","bus"
"40","official","official","arrest","pompeo","hubei","significant","conference","professional","australia","thomas","th","platform","california","shinzo","hate","xinhua","cabinet","rally","olympic","facility","event","resume","angeles","visa","nhl","player","conduct","york","womens","carolina","stadium","result","announce","district","fine","visit","close","seat","outbreak","return","organization","pcr","studentathletes","rise","next","common","action","unite","change","symptom","colorado","six","us","university","know","new","california","know","contagious","much","citys","part","cluster","white","dine","tuesday","us","one","announce","decline","get","say","document","hit","area","fully","unite","state","arkansas"
"41","leader","deadly","front","blame","province","mers","thursday","net","bach","resume","premier","cnns","program","separately","hutchinson","hold","real","stadium","political","toward","decision","positive","due","welcome","restart","governor","cancel","hybrid","schedule","league","cancel","semester","learn","play","public","sunday","october","southeastern","minute","school","increase","postpone","due","early","early","guidance","emerge","ban","case","cdc","protection","survey","new","previous","circulate","center","update","drive","lab","prevent","something","suggest","canadas","reason","washington","infection","reason","individual","protect","address","want","certain","proof","way","arizona","center","international","ban","statement"
"42","prevent","page","ambassador","outbreak","social","delete","instagram","share","canada","tom","coach","declare","hall","sky","little","selfisolation","now","cancel","agreement","postpone","announce","association","austin","baseball","bubble","child","due","baseball","return","oklahoma","statement","fan","complication","begin","thousand","council","follow","tie","thursday","spokesman","include","shanghai","trace","county","must","ohio","infect","determine","confirm","transmit","strain","cell","evidence","coronavirus","mutate","change","research","florida","wild","supply","prior","place","part","answer","challenge","whether","fauci","without","center","georgia","fall","scientist","penalty","face","atlanta","vaccination","challenge","space","cnn"
"43","information","read","force","news","die","wenliang","without","star","delay","wife","mens","agreement","broadcaster","update","next","resurgence","committee","outline","pandemic","war","angeles","nfl","person","workout","semester","open","statement","coach","online","week","decision","online","houston","employee","follow","activity","arrive","ice","list","bay","facility","stay","league","virtual","world","associate","respond","tier","globally","likely","deadly","escape","mortality","england","protection","washington","due","indicate","neutralize","europe","africa","think","white","seriously","report","us","infectious","re","continue","people","risk","venue","workplace","transportation","attempt","away","local","beshear","return"
"44","around","several","even","quickly","attempt","east","behind","plan","instagram","broadcaster","month","league","division","publish","politician","offer","series","stimulus","manage","party","place","football","announce","play","first","fall","positive","announce","member","north","receive","teacher","song","conference","accord","involve","football","studentathletes","statement","andrew","hold","morning","basketball","lam","depart","week","zealand","transmissible","monoclonal","protection","sign","journal","prevention","contagious","cause","travel","total","evade","prevalence","medical","slightly","far","get","place","adviser","president","say","public","dr","question","can","catch","continue","result","ban","base","go","reverse","effective"
"45","wuhan","news","alarm","political","official","whistleblower","oklahoma","july","organization","year","declare","tournament","draft","postpone","flower","even","organize","country","strain","holiday","california","team","los","college","phase","remote","series","resume","game","fan","shah","party","semester","television","date","return","north","among","campus","baseball","university","isolation","host","annual","directorgeneral","big","unable","traveler","discover","genetic","good","one","organization","level","estimate","prisoner","coronavirus","cdcs","evade","first","douglas","study","particularly","distribution","answer","transmission","director","continue","anthony","guideline","stop","stadium","vaccinate","begin","break","decide","effective","savannah","georgia"
"46","shi","wuhan","temperature","member","party","jail","rita","japan","football","agree","capital","ioc","compete","schedule","organize","spectator","contact","now","south","office","due","limit","facility","superintendent","august","event","coach","make","league","home","north","schedule","windsor","instruction","among","fan","series","one","definition","coach","since","protocol","position","league","olympic","involve","document","say","southeast","organization","case","immunity","world","protect","significant","update","san","wen","test","around","resolve","mandate","another","senior","much","new","cnns","dr","need","now","teen","volume","prior","food","change","delay","re","issue","follow"
"47","zhou","around","december","declare","move","drill","result","hold","thomas","prime","activate","host","international","international","high","background","private","quarantine","less","iowa","side","allow","staff","international","learn","host","education","quarantine","cardinal","conduct","chancellor","send","cnn","player","personnel","administrator","michigan","first","mountain","studentathletes","hit","spanish","protect","defer","prince","reduce","social","restriction","hong","effective","wave","circulate","african","individual","country","study","monoclonal","patient","indicate","capability","care","control","even","day","people","ahead","reiner","time","within","update","substantial","mental","arent","dr","comment","education","change","will","office"
"48","news","leader","full","official","december","meet","competition","gobert","tokyos","postpone","november","shinzo","delay","originally","japans","network","travel","kim","committee","local","church","course","cancel","learn","college","board","limit","conference","less","education","president","club","online","department","vice","tennessee","grade","lee","superintendent","social","symptom","conference","arizona","edward","begin","share","professional","van","respond","detect","still","lab","coronavirus","circulate","update","dc","evade","number","just","couple","crucial","prevention","answer","now","cnns","watch","little","cnn","practice","keep","effective","setting","education","canada","deal","face","keep","proof","board"
"49","meet","local","security","allow","february","japan","wife","yamaguchi","usa","emergency","arizona","feature","taiwan","plan","maybe","widely","grave","drink","respond","crowd","year","spring","school","football","test","covering","date","staff","safety","fall","season","chico","season","nfl","instruction","nfl","retire","close","uruguay","go","gathering","forward","test","decide","conference","six","hard","medical","likely","colorado","one","know","efficacy","adult","base","mutate","antibody","california","fuel","growth","light","numb","deadly","adviser","happen","outside","jersey","family","covering","use","line","jab","keep","department","easily","fund","recommend","send","institution"
"50","may","great","epidemic","publish","top","run","coach","isolation","due","discuss","july","schedule","traditional","impossible","globally","th","phone","message","executive","december","statement","site","mlb","nhl","leave","team","bubble","play","quarantine","ncaa","case","psg","classroom","college","tennessee","next","walsh","missouri","move","celebration","mask","follow","staff","list","football","event","antonio","may","region","pattern","less","different","researcher","reinfection","show","minnesota","northeast","across","transmissible","although","sequence","high","explain","like","live","mandate","keep","fall","still","activity","certain","control","actually","hour","face","home","director","strongly","local"
