"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"35","business","half","anyone","close","face","office","uc","announce","education","pastor","class","state","office","business","retail","gather","close","resort","mine","guest","store","employee","extend","eat","requirement","canada","regulation","use","face","citizen","dine","state","strict","museum","outdoor","england","association","system","outdoor","limit","become","lift","transport","ban","time","suspend","gathering","johnson","restrict","prompt","zealand","australia","will","event","airline","restriction","take","special","outdoor","paris","border","gathering","go","police","power","place","country","robert","bar","case","security","context","permanent","struggle","mass","fall","put","talk","direct"
"36","hall","measure","company","work","announce","teacher","stanford","justice","home","indiana","mayor","require","public","rule","city","business","stay","table","city","los","apart","social","public","restriction","re","employee","close","airline","restriction","property","gaza","rate","operate","close","allow","executive","zone","national","close","prime","business","impose","essential","victoria","effect","traveler","hotel","border","sweden","case","el","strict","foreign","board","canadian","home","authority","protect","test","location","weekend","night","start","strict","nfl","strict","lanka","speranza","citizen","good","unite","critical","civil","organizer","meanwhile","prevention","monday","make","movement"
"37","set","striker","tomorrow","semiautonomous","say","resident","instruction","disney","municipality","limit","service","mexico","bar","office","disney","space","small","theater","guideline","city","june","service","social","executive","place","operate","diego","police","avoid","sept","social","business","closure","justice","tuesday","maximum","closure","mix","regional","visit","conte","start","strict","local","gathering","gathering","nsw","international","hour","december","positive","day","crow","mandate","move","result","introduce","require","time","pm","de","april","holiday","see","place","end","exception","people","security","come","emergency","customer","poor","attend","pay","us","unvaccinated","hour","suspend"
"38","quarantine","year","measure","block","disney","contact","encourage","hearing","area","gun","department","business","georgia","guideline","hygiene","distance","group","item","theater","train","release","rule","pm","firework","seat","allow","costco","growth","business","domestic","governor","maryland","zone","bar","face","governor","gym","officer","announce","two","remain","australia","close","level","medium","area","strict","will","government","pm","salvador","coronavirusrelated","accommodation","south","domestic","must","six","past","past","tournament","open","can","contact","turkish","lockdown","parliament","south","press","reopen","quarantine","life","fly","penalty","advance","policy","covid","eu","officer","antiviral"
"39","place","semiautonomous","temporary","bar","mongolia","post","college","clara","prisoner","ron","garcetti","sheriff","allow","practice","face","like","can","kindergarten","maximum","wear","rule","gym","restriction","cover","less","email","cover","average","spread","impose","touch","individual","australian","park","rise","service","operate","different","six","strict","delivery","host","lift","england","regional","rise","resident","enter","requirement","entry","arrive","air","plane","will","holiday","brazil","event","closure","olympic","castex","limit","unit","extend","merkel","tuesday","zealand","around","hundred","german","watch","result","germany","countrys","arena","recommend","vaccination","france","travel","sarscov"
"40","suspend","month","service","say","new","police","office","voucher","memo","louisiana","safe","graduate","institution","facility","hairdresser","operate","outdoor","city","school","july","guest","resort","california","guest","activity","county","social","public","trade","statement","enforce","francisco","office","gimenez","order","protester","nonessential","closure","gathering","germany","except","stay","trace","seoul","suspend","local","mexico","lorry","close","mile","hour","star","come","negative","measure","airline","order","center","start","allow","little","government","new","haridwar","local","operate","restrict","national","orange","result","see","list","selfquarantine","maximum","record","disease","italy","contact","reversal"
"41","new","limit","citys","fear","border","high","ohio","clean","texas","jail","celebrate","procedure","effect","bar","mall","use","approach","can","business","venue","school","include","florida","water","person","spokesperson","shut","maintain","government","lockdown","secretary","shop","maximum","within","sector","desantis","place","medium","must","australias","home","close","border","retail","citys","year","passenger","area","return","exception","decide","international","present","league","place","hotel","lift","health","within","monday","cruise","holiday","record","virus","german","app","june","social","paulo","maximum","though","ministry","enforcement","contractor","restriction","ability","minister","first","category"
"42","fear","say","customer","daily","asian","experiment","education","release","california","wolf","public","open","face","employee","facility","implement","guide","store","covering","activity","foot","facial","fine","michigan","safety","exempt","public","shift","decline","building","security","urban","angeles","phase","wale","establishment","rule","distance","meet","outside","national","limit","state","operate","remain","pandemic","victoria","australia","order","south","place","rule","lift","home","country","mile","international","wear","april","decline","childcare","infection","set","prime","australia","situation","zealand","gathering","rise","wave","case","orange","screen","cap","run","able","participant","washington","saint"
"43","chief","crossing","sector","kongs","arrive","march","seattle","million","tuesday","effect","facility","exam","angeles","process","shop","stayhome","lecture","holiday","nonessential","face","distance","requirement","palm","establishment","phase","restriction","operate","individual","job","theater","reopen","restriction","mandate","rate","dine","covering","major","financial","mayor","go","curfew","holiday","household","capacity","household","lockdown","limit","french","january","east","prime","allow","new","wear","day","negative","brazil","march","stay","lockdown","curfew","people","thursday","ministry","country","currently","government","news","hotel","custody","whether","press","international","country","sure","abroad","euro","restriction","experience"
"44","month","macaos","arrest","possible","must","yeshiva","letter","operation","justice","lawsuit","angeles","vulnerable","los","expire","place","resident","enter","foot","distance","customer","disneyland","bowser","gathering","issue","young","store","comment","protest","reopen","citation","decide","gov","stage","certain","speech","reeve","require","northwest","people","service","leave","red","six","ease","activity","fly","ban","negative","result","bar","quarantine","period","ministry","northern","proof","passenger","positive","country","affect","able","interior","coronavirus","nation","day","free","pakistan","start","follow","italys","bar","set","protective","attendant","less","term","accord","lady","president","prevention"
"45","also","closure","electronic","know","education","headquarter","maryland","location","police","greg","vulnerable","mass","remain","customer","rule","remove","use","mask","exercise","foot","raimondo","theater","establishment","pm","carry","document","violation","enforcement","city","crowd","transport","homeless","risk","program","social","officer","commissioner","mayor","martin","distance","december","city","social","maximum","seoul","limit","january","prime","contagious","introduce","outside","member","international","result","tyrol","father","airline","ambassador","airport","central","véran","germany","without","distance","reopen","singapore","day","award","lockdown","strategy","arrival","wall","bill","agency","threat","account","tray","test","disease"
"46","university","resident","billion","mainland","place","staffer","website","accord","sheriff","maryland","gathering","store","cover","remain","grocery","store","online","state","gov","can","city","theme","requirement","area","citys","business","prominent","reduce","passenger","enforce","age","yellow","new","session","continue","close","outside","group","greece","indoor","johnsons","resident","unless","christmas","chuang","order","holiday","detect","within","result","take","unable","government","entry","within","household","flight","border","foreign","manage","hospital","epidemic","night","also","social","return","end","nepal","door","advise","lockdown","personal","announce","keep","transportation","across","wave","require","enforce"
"47","bureau","park","executive","include","visit","facility","email","detention","abbott","gathering","grisham","sign","correction","restriction","police","foot","degree","site","mobile","public","restriction","announce","los","remain","museum","ban","aug","delta","file","georgia","announce","victoria","city","guideline","office","four","period","recommend","boris","ban","andrews","travel","area","south","prohibit","dc","open","africa","finland","identify","situation","arrive","unite","saudi","strict","jacinda","mandatory","citizen","ready","traveler","public","border","uk","pm","china","lift","international","risk","france","space","military","rely","rule","move","weekend","act","context","due","unable"
"48","amid","anyone","student","place","traveler","huang","suspend","telework","detainee","park","press","file","highrisk","public","avoid","can","florida","enforce","concert","movie","covering","close","resume","suarez","pull","need","letter","eat","cuba","social","texas","closure","maryland","yet","step","decline","school","can","require","household","decision","total","government","chp","ease","nepal","new","hour","hong","place","international","crow","transport","crow","cruise","andrews","park","context","security","summer","social","screen","local","worker","limit","start","tourism","case","place","plane","move","chairman","approach","transportation","former","action","time","see","search"
"49","lunar","participate","emergency","requirement","release","mariner","county","start","bureau","federal","home","face","remote","detention","require","enforce","door","county","office","department","justice","visitor","executive","employee","sector","federal","person","alcoholic","individual","kemp","outdoor","fan","foot","open","sign","local","police","police","czech","must","expect","november","gym","yau","space","route","social","strain","kong","close","student","film","enter","tsa","flight","fiveday","tedros","embassy","short","app","german","country","begin","lift","zealand","rule","head","unite","move","citizen","passenger","tech","daily","event","building","activate","quarantine","also","province"
"50","citys","stop","ward","begin","week","exposure","california","ohio","state","closure","crowd","florida","exercise","monday","must","consider","operate","begin","event","shop","can","mandate","issue","inside","absolutely","policy","board","house","change","violence","giménez","crowd","visitor","result","time","rise","must","open","work","business","school","england","travel","kongs","light","inslee","countrys","ministry","documentation","cluster","airport","frances","variant","digital","pm","thursday","emirate","attend","temporarily","stadium","increase","rule","day","ease","fly","arrival","korean","johnson","monday","compare","basis","pilot","final","summer","violate","actively","epidemiological","staff","nationwide"
