"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"14","parar","urbano","espaço","violência","necessidade","assinar","medicamento","setúbal","entidade","entidade","região","luís","contágio","entrever","parecer","reconhecer","acreditar","das","ano","ventilação","ensinar","altura","jornal","lectivo","tocar","regressar","desta","regressar","interior","docente","agrupamento","levantamento","de","municípios","distrito","coimbra","paços","faixa","michael","guerra","virus","ritmar","hese","internamento","covid","serviço","ocupação","cincar","actividade","coimbra","sistema","estabelecimento","hospitalar","equipar","ou","públicos","euro","especialista","municipal","reunião","faculdade","cancro","vários","australiano","inscrever","setembro","bolsonaro","jair","estudar","trabalhar","eua","membro","funcionários","vacinado","nível","objectivar","ou","entrado","antigénio","estabelecimento"
"15","em","municipal","freguesia","dado","média","alojamento","estão","condução","férias","pereira","situações","hospitalar","estar","colega","aula","câmara","lectivo","máscaras","regressar","presencial","próximo","máscara","donald","medida","plano","estudante","beber","ensinar","ensinar","cgtp","ua","violência","estado","acusar","riscar","jogador","norte","região","tirar","rua","indicações","interior","administração","de","administração","transferido","guardar","são","uci","profissional","actividade","bolsonaro","subsídio","unido","consulta","combater","eu","social","espaços","lado","estrangeiro","mundial","estar","ele","renovar","de","medida","luís","ricardo","funcionários","informações","aviões","grávidas","cercar","natural","detectar","janeiro","vila","focar","ano"
"16","pessoa","receber","bombeiro","dos","mendes","pessoa","centena","disponível","contra","por","cada","serviço","está","promotor","apoiar","equipamento","às","cada","ministrar","infarmed","estar","ordem","lutar","espaços","lectivo","que","regra","ciclo","regressar","informar","académica","representativo","autoridade","oliveira","municipal","biliões","centrar","mais","ryan","intenso","unir","países","internamento","serviço","de","em","joão","almada","fonte","alentejo","última","serviço","juntar","investigação","estudar","temer","redar","trabalhador","importação","dificuldade","digital","homólogo","economia","jair","obrigatoriedade","tribunal","partir","senador","artigo","poderão","sintoma","desinformação","nações","social","recuperar","hospital","pelar","países","barro","resultado"
"17","municipal","ctt","cemitérios","vítimas","violência","graça","godinho","despachar","de","contactar","outro","infectado","máscaras","terra","lisboa","protecção","utilidade","parecer","regime","mercar","suspenso","unido","parlamentar","educação","regressar","encerramento","aula","segurança","necessário","aveiro","número","manifestações","vir","rendimento","paços","estruturar","lisboa","riscar","programar","familiar","saúde","objectivar","serviço","nível","pressão","disponibilidade","universitário","centrar","urgências","ocupação","serviço","sns","brasil","lado","de","mãªs","acesso","incluir","teletrabalho","teletrabalho","projectar","principal","hong","tribunal","parlamentar","aprovar","famílias","aquisição","autor","comprar","nem","joe","presidente","percentagem","alentejo","suspeitar","defeso","turismo","funcionários","dezembro"
"18","quem","local","por","parar","disponível","link","casar","âmbito","junho","alimentar","pã´r","utilizador","estabelecimento","juntar","presencial","cadeia","começam","entrar","audição","educação","será","permitir","escola","ano","encerramento","serão","portar","emprego","das","programar","ir","exactamente","admitir","de","setúbal","familiar","real","etárias","imprensar","afirmar","significar","dólares","urgente","contingência","serviço","fonte","uci","rita","programado","ars","passageiro","internado","normal","gripar","sempre","funcionários","desempregar","governar","sputnik","propagação","agência","jair","quase","tratamento","iniciativo","conselho","covaxin","dólares","longo","federal","vagar","isso","mais","investigador","produzido","proençanova","febre","promover","escolher","têm"
"19","não","por","câmara","público","civil","migrante","mensagem","comprar","trabalhador","local","azambuja","confinamento","importar","acções","doença","afirmar","equipamento","ligar","que","proximidade","causar","segurança","funcionários","continuar","presencial","partir","pai","quanto","coimbra","ou","existir","regulamentar","está","das","fundar","maio","felgueiras","baixar","rua","tudo","ambos","acesso","área","planar","médicos","ambulâncias","receber","portar","chmt","internamento","enfermeiro","hoje","tratamento","covid","despesa","sempre","pib","digital","contratar","redar","pedrar","russo","assembleia","impedir","rodrigar","regra","usar","brasil","covaxin","investigar","norteamericano","necessitar","período","processar","hospitalizar","delta","ferreiro","vontade","aliviar","reforço"
"20","trabalhador","vulneráveis","poder","medicamento","doente","disponível","situações","carreira","carro","tudo","transmitir","novo","proibir","empresar","causa","municipal","próximo","público","conferência","público","contágio","vírus","apontar","fechado","algum","limitar","arrancar","teletrabalho","meio","trabalhador","passageiro","mourar","países","ferreiro","criar","concelho","viana","habitante","obrigatoriedade","ficar","mais","inicialmente","ocupação","respostar","enfermeiro","redar","oxigénio","sair","hff","capacidade","centrar","saúde","reforço","recordar","clínicos","instituições","medição","experiência","despachar","social","utente","plataforma","contra","governador","pfizer","um","ano","saber","rir","altura","casar","testagem","dizer","garantir","níveis","castelo","corpo","complexo","brasil","diariamente"
"21","se","medicamento","idoso","autarquia","local","disponibilizar","mendes","veículos","pessoa","situações","recolher","unidade","segurança","médicos","autarca","não","july","andré","abrir","excepcional","obrigatório","dever","sala","johnson","filmar","teletrabalho","teletrabalho","fechado","oeste","impactar","católica","rondar","presidente","viana","lisboa","um","nível","elevado","situação","enfermeiro","análises","aumentar","procurar","tratar","santo","oxigénio","ocupado","amadorasintra","urgente","bem","mês","intensivo","ocupação","médica","atender","distribuição","comunicar","jair","fornecer","cancelamento","ferramenta","coronavírus","turista","obrigado","gestão","pretender","resultar","contratar","após","gravar","relatório","contudo","números","instituição","mp","gnr","berlim","prémio","também","laboratório"
"22","mesmo","semabrigo","municipal","voluntários","vítimas","pensões","trabalhador","lugar","veículos","distância","excepções","inem","empresar","está","propor","consciência","este","lugar","equipamento","será","sobrar","justificar","vão","manhã","máscaras","docente","distância","reduzido","determinar","de","estabelecimento","salvaguardar","haver","governar","impor","fundar","madeirar","atingir","época","área","origem","aquele","évora","universitário","uci","dez","lisboa","de","profissional","enfermeiro","brasil","alertar","passar","despesa","trabalhador","marta","divulgado","prestação","associar","embaixada","fundação","nunca","federal","março","lei","janeiro","governar","perda","máscaras","desenvolver","director","indiano","após","sales","serão","lar","menos","interromper","atendimento","de"
"23","atendimento","saãºde","diabete","estacionamento","divulgar","regulador","vivar","portar","ou","observar","contágio","militar","fazer","estabelecimento","educação","informação","imediato","votar","comissão","apresentado","oms","contactar","protestar","escolar","professor","reabrir","transportar","tecnologia","maio","presencial","respostar","reprodução","hoje","distrito","da","gaiar","novo","vila","novembro","de","inglaterra","das","cuidado","pressão","contingência","santo","covid","com","covid","respostar","janeiro","cama","gravar","presidente","dos","apontar","apresentação","estender","transportar","existente","tornar","tornar","social","cincar","vagar","sánchez","especialista","biliões","investigação","um","ano","vagar","está","sexto","multar","parar","embaixada","pequeno","responsável","sequenciamento"
"24","recolher","voluntários","recebao","fornecer","formulário","área","agência","voo","cada","distanciamento","local","através","utilizar","educação","recurso","greve","ser","filar","director","ponderar","usar","branco","cada","encerrar","pai","rtp","alcoólicas","estabelecimento","considerar","despedir","suspensão","discutir","da","portar","em","tradicional","valar","subir","última","macau","bori","numa","covid","parar","maria","internamento","redar","dois","de","salientar","enfermar","meio","receber","milhões","linha","pública","instituições","prejuízo","lei","médica","respiratórias","federal","poderá","internacional","máscara","parecer","reunião","anvisa","vacina","contra","conjuntar","estudar","ainda","dado","serológico","santo","dor","secretária","ajudar","testagem"
"25","criar","dever","semabrigo","funeral","reinar","pessoal","aqui","chamada","escola","protecção","pessoa","armada","gabinete","ministrar","numa","fazer","crianças","jornada","metro","ivo","ano","alteração","gente","pai","destacar","às","metro","um","deputado","inquirido","trabalhar","comercial","muito","são","santo","comércio","caso","momento","epidemiológica","seul","motorista","precisar","actividade","uci","fonte","receber","taxar","pressão","clínico","médicos","desempregar","agendado","congresso","médicos","resultar","assinalar","mãªs","alegar","méxico","inem","butantan","decisões","vagar","ano","projectar","exterior","jair","num","impactar","brasileiro","pedir","norte","instituição","oxford","alertar","enviar","diferença","grande","onde","utente"
"26","fonte","recolher","social","campanha","município","medicamento","violência","terços","empresar","fornecer","estudante","hancock","mesmo","exemplo","fernando","civil","entrever","ipo","serão","regressar","sábado","governar","anticorpo","bori","próximo","deputar","das","profiláctico","escolar","reduzir","professor","departamento","quartafeira","levantar","amador","protecção","adiar","sucesso","cidadãos","identificação","cursar","responsável","recurso","forças","planar","contingência","uls","respostar","dia","setúbal","repetir","mobilização","maria","social","partilhado","programar","incluir","fauci","produção","virtual","ciências","pessoal","afectado","mear","votação","liberal","máscaras","parlamentar","ligar","avaliar","sobrar","prevenção","londres","esmagador","precisar","mês","meu","distribuição","henrique","comunicar"
"27","também","com","concelho","compra","público","incluir","numa","fechar","joão","apenas","fechado","públicos","utilizador","economia","destacar","que","polícia","declarado","começou","ordem","ar","escrever","sugerir","impôs","próxima","actividade","ciclo","rastrear","um","fenprof","detectado","análises","atribuir","área","fpf","avançado","coimbra","nível","conferência","espírito","mãªs","vírus","urgências","medicinar","ambulâncias","com","área","capacidade","progressivo","nem","altura","estruturar","surtir","hospitalar","tratamento","comer","estimar","alto","órgão","fiocruz","levar","outubro","vírus","faltar","legislativo","lei","celebração","empresar","desenvolver","artigo","que","tomé","sinopharm","luso","infectado","citar","euro","política","diários","hora"
"28","por","plataforma","pedido","pedir","ciência","público","nomeadamente","manhã","quase","admitir","trabalhador","distanciamento","equipar","defender","discoteca","rápido","público","ganhar","cultural","funcionários","dos","transmissão","excepcional","cada","semana","funcionários","fiscalização","comer","alguém","autoridade","trabalhador","mantendose","carência","social","lourar","apelar","beirar","peralta","regressar","kluge","eficaz","maior","joão","adiantar","respostar","maria","quatro","instalado","capacidade","mato","antónio","crise","intensivo","stayaway","ana","máscara","comunicação","ano","reter","combater","coronavac","polícia","março","campanha","sondagem","propor","quartafeira","ministério","escola","bolsonaro","mãªs","sofrer","liderar","será","acusar","de","luso","vigilância","trabalhador","idade"
"29","domicílio","segurança","ajudar","pagamento","solidariedade","aérea","graça","comboiar","mear","bem","boletim","sindicato","resolução","lago","mudança","situação","mear","despachar","docente","às","de","outro","avenida","arrancar","máscara","próxima","exercer","ficar","claro","isabel","ensinar","brandão","preço","aluno","selecção","correar","lousada","bragança","da","natal","mear","garantir","afluxo","tejo","estruturar","urgência","em","compor","respostar","chuc","continente","ter","comunicar","app","maioria","resultar","voz","técnica","combater","publicação","médicas","tratamento","sentir","ter","pazuello","que","responsável","artigo","costa","misericórdia","partilhado","guardian","mostrar","vacinação","santo","branco","casar","pelar","objectivar","coimbra"
"30","disponível","em","municípios","janeiro","existência","descarregar","num","link","cercar","familiar","jamaica","linha","emergência","população","sobrar","individual","nós","falhar","individual","várias","nacional","mostrar","liberdade","sul","manter","públicos","regime","sala","associação","ferreiro","subir","residencial","tratado","bastar","comunicar","praça","oliveira","braga","que","maior","nenhum","pública","suspeito","aumentar","ocupação","abrir","acolher","universitário","consulta","consulta","milhões","acompanhamento","políticas","criado","protecção","pedir","reconhecer","áreas","ruir","coronavac","médica","empresar","sublinhar","castrar","maioria","projectar","necessidade","nações","mobilização","rosar","março","probabilidade","investigação","trabalhador","actualmente","gestão","lar","outro","discursar","destas"
"31","riscar","riscar","euro","podar","através","recebao","reportagem","pessoa","casar","serão","projectar","ofertar","arraial","obrigar","das","presidente","críticas","moreira","professor","reduzir","referir","referir","quando","decisão","universidade","norma","ao","superior","restauração","jorge","empresa","lineheight","negro","parar","taxar","pedido","joão","real","natal","reuniões","menos","medido","conselho","saúde","abrir","amadorasintra","paciente","luxemburgo","máximo","eu","dos","clínica","maioria","enviar","finanças","adiantar","apoio","sofrer","vez","dosar","dor","tudo","sair","inquérito","paulo","avançou","parlamentar","indiano","preparado","pandemia","contra","vacinado","provocar","países","solidariedade","em","santo","provar","realizar","campanha"
"32","sextafeira","internet","edição","centrar","neste","situações","horários","nem","públicos","flexibilidade","açores","técnicos","vigor","faltar","dizer","isto","sérvia","futebol","funcionários","apesar","segurança","números","ensinar","terá","social","associação","estudante","distância","acontecer","reitor","entrar","msopaginationwidoworphan","tradicional","galiza","conhecimento","natal","bragança","demorar","de","conselheiro","reinar","agência","internado","centena","ocupado","hgo","com","suspirar","rever","onda","oe","fundamental","vários","cientista","jogo","ou","ministrar","adjunto","nacional","destinado","realização","passar","adaptar","cloroquina","respostar","justificar","contratar","estudar","solicitar","olhar","mal","transportar","às","nova","vulneráveis","serão","municípios","marcar","outro","direcçãogeral"
