"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"11","assembleia","deputado","emergência","bancada","recluso","propor","líder","deputado","considerar","presidencial","presidente","colectivo","que","aguardar","psp","notícia","decisões","homem","turismo","macau","noruega","teletrabalho","perda","universidade","prazo","vírus","presidente","da","ver","presidente","decisão","podar","taxar","defender","poder","medida","documentar","dizer","marta","sns","estar","ter","directorageral","dizer","isso","isso","jornalista","dever","mas","ter","muito","porque","tudo","apelar","conseguir","mas","muito","mãos","sempre","mas","formar","marta","vidar","vêm","afirmar","afirmar","um","defender","nós","comportamento","seguir","possível","há","vacinar","se","deixar","apelar","esse","directorageral","diversão"
"12","ministro","psd","assembleia","debater","direito","sessão","emergência","votar","comunista","sublinhar","nem","costa","indígenas","português","reunião","presidente","empresar","agências","hospitalar","futebol","abril","trimestre","dizer","metro","anticorpo","indicar","regressar","pedir","região","parlamentar","aula","accent","positivar","considerar","podar","cds","especialista","imunidade","voz","relativamente","nem","esse","sobrar","mas","medida","lutar","prioritários","necessidade","muito","planeamento","nem","propor","luso","melhor","esse","necessidade","desconfinamento","nós","manter","pandemia","comunidade","um","desconfinamento","riscar","presidente","medida","muito","neste","diferente","defender","um","isso","porque","terceirar","deixar","apelar","porque","será","república","ou"
"13","direito","reunião","partido","lei","estar","cerimónia","psd","rir","festa","portuguãªs","partido","apoiar","precisar","da","líder","chave","justiça","pública","abril","contenção","tripulação","adepto","público","gotículas","confirmar","idade","cartar","máxima","república","mendes","da","gravar","neste","se","melhor","contra","prioritários","ser","melhor","planar","podar","doente","quem","importante","se","ser","se","garantir","isso","pedir","antónio","ser","professor","insistir","fase","quem","líder","problema","barro","coisa","possível","alimentar","um","sousa","um","muito","emergência","jornalista","medida","muito","férias","perito","república","director","mas","não","querer","da","importante","teletrabalho"
"14","lei","conselho","decretar","considerar","dividendo","presentar","rebelar","governar","joão","da","psd","comboiar","ler","marcelo","lisboa","prémio","importante","lotação","quedar","maio","localizar","futebol","novembro","suécia","corpo","amostra","madrid","lotação","massivo","rebelar","máxima","respostar","se","dizer","seu","defender","costa","governar","nós","isso","vacinar","tudo","um","muito","limitar","mas","mas","testar","fazer","testar","marta","antónio","deixar","ter","isso","ser","fase","usar","médicos","porque","isso","família","internamento","república","especialista","costa","precisar","situação","ter","considerar","perguntar","república","nosso","decisão","entrever","fazer","grande","parlamentar","fazer","biden"
"15","aprovar","governar","pcp","governar","deputar","rebelar","que","perguntar","social","sobrar","defender","profundar","aumentar","rebelar","primeiroministro","ver","parar","sequência","jogo","ritmar","membro","podar","forte","esperar","escrever","níveis","televisão","entrever","rei","von","recinto","covid","com","podar","considerar","isso","responder","será","um","querer","emer","parar","têm","medida","esse","se","trabalhar","se","ter","fazer","directorageral","podar","falar","coisa","questionar","se","mas","fazer","ainda","sempre","quem","quadrimestre","ou","dizer","mas","depender","afirmar","eu","fazer","entrever","fazer","deixar","ser","afirmar","muito","outro","italiano","fim","afirmar","testagem"
"16","reunião","líderes","rebelar","recluso","sousa","rodrigar","da","que","questionar","oposição","apoio","simplificar","responsabilidade","restaurante","jornalista","crise","república","álcool","homem","em","filipe","espectador","presença","conter","riscar","após","publicar","país","presidente","participar","encerramento","unhidewhenusedtrue","aumentar","votar","apontar","condições","parar","haver","ser","espaços","esse","fazer","escolher","questão","lembrar","só","conseguir","dizer","parar","lembrar","porque","se","isso","saúde","mas","ter","podar","haver","porque","tempo","nenhum","médico","comer","porque","ruir","república","república","berta","marta","nós","cada","marcelo","só","se","quando","imunitário","acabar","afirmar","rebelar","governar"
"17","primeiroministro","pcp","prolongamento","cds","decretar","governar","municípios","presidente","assembleia","assembleia","perguntar","sector","próximo","sector","nós","costa","frente","um","retomar","apoiar","trimestre","final","testar","equipar","doente","resultado","membro","madrid","multar","marcelo","combater","industrial","cancelado","da","comunicação","sector","afirmar","concluir","conseguir","importante","problema","melhor","saber","crise","sobrar","mais","fazer","saúde","riscar","garantir","sobrar","ele","um","ser","ainda","tempo","isso","afirmar","vírus","se","impactar","inscrever","incidência","bem","possível","falar","dizer","presidente","antónio","ou","tornar","máscara","ter","defender","porque","especialista","coisa","se","ficar","negativar"
"18","propor","propor","lei","ps","votar","jorge","cds","assembleia","pelar","ovar","fronteirar","regime","apresentado","sousa","apelar","que","marcar","portar","aos","das","bordar","estádios","sintoma","reinfecção","que","testar","vão","pessoal","zona","testar","costa","luzir","fotografia","precisar","governar","deputado","têm","garantir","tempo","tempo","temer","isso","ministrar","confinamento","antónio","muito","muito","portuguãªs","antigénio","dizer","ter","focar","apelar","economia","poder","melhor","deixar","ruir","podar","afirmar","horar","dizer","mas","coisa","ele","sousa","nem","férias","tempo","jornal","henrique","podar","antónio","governar","imunidade","muito","trabalhador","directorageral","portuguãªs","fronteira"
"19","liberdade","debater","líderes","aprovar","sociedade","ruir","ps","oposição","projectar","qualquer","regime","dificuldade","cair","mas","perceber","direito","presidente","rebelar","volumar","crescimento","quebrar","junho","fonte","eficaz","seu","italiano","reabertura","sousa","alemã","resultar","começar","praticamente","pan","requisição","mas","considerar","idoso","se","muito","contacto","querer","afirmar","pedir","insistir","nunca","conseguir","precisar","reforço","se","mas","esse","temer","fazer","global","coisa","apelar","haver","pouco","probabilidade","isolamento","começa","se","ter","eu","eu","especialista","medida","portuguãªs","médicos","acontecer","momento","presidente","deixar","presidente","dizer","antar","proteger","invernar","está","estabelecimento"
"20","marcelo","chefe","estar","aprovado","líder","não","rir","social","referir","rodrigar","costa","portuguãªs","controlar","eventual","não","rebelar","um","sousa","redução","aquele","lectivo","estádio","estudar","cientista","novembro","contactar","às","televisão","recuperação","catarino","enviar","aveiro","resolver","tomar","ue","saúde","baixar","longo","costa","antónio","possível","ainda","investigação","primeiroministro","mas","defender","grande","rastrear","querer","cumprir","se","demasiar","está","esse","porque","seu","pouco","explicar","haver","portuguãªs","evento","tempo","diferente","antónio","percentagem","quem","esse","temer","precisar","vacinar","esse","antónio","aos","decisões","vieira","se","grupo","república","lectivo","serviços"
