"","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-12-01"
"13","encerrar","março","vaziar","brasileiro","março","fevereiro","industrial","face","manter","passageiro","liderar","unir","daqui","após","renânia","confinamento","disponível","casar","quase","hong","cidade","autoridade","país","fim","diagnosticado","israel","autoridade","israel","confinamento","responsável","importado","local","infectado","partido","consumidor","partido","forã§ar","governar","medida","sousa","república","necessidade","renovação","sobrar","primeiroministro","república","frança","páscoa","livro","rebelar","lutar","sousa","que","sousa","prazo","desejar","reunião","apresentar","costa","confinamento","defender","correr","pedir","civil","sublinhar","grécia","jovem","novo","tejo","profissional","ordem","idoso","enviado","ligeiro","ordem","próximos","acesso","recomendado","deixar","acompanhante"
"14","cliente","portuguãªs","cabo","chinãªs","passageiro","livrar","empresa","menos","turismo","alemão","pib","espanha","desempregar","de","chinãªs","genoma","versão","paciente","autoridade","kong","em","província","coreia","restrições","quase","confinamento","fixar","asiático","sete","oriundo","noroeste","identificado","de","parlamentar","antecipado","assembleia","estar","pan","protecção","que","lar","lembrar","pcp","república","antecipar","antónio","estar","renovação","presidente","deputar","dever","antónio","documentar","deputar","próxima","lei","propor","ue","governar","quadrar","correr","defender","apelar","decorrente","fechado","nascer","quase","quartar","vagar","ponto","fevereiro","referir","continental","antigénio","poder","encontrar","definir","crianças","duarte","garcia"
"15","voo","madrid","quedar","alemão","petróleo","em","europa","indústria","chegar","pedido","unir","europeu","quedar","maior","autoridade","pouco","autoridade","detectado","urumqi","melbourne","exterior","surtir","origem","seul","cidade","cidade","morto","confinamento","cair","país","províncias","surtir","constituição","decretar","conselho","medida","santuário","quadrar","estar","considerar","recusar","ordem","república","eleições","costa","costa","forças","psd","ministrar","decretar","que","estar","testagem","decretar","moratória","ministro","social","comissário","sector","parlamentar","poder","ter","regra","desportivo","financeiro","explicar","capaz","acrescentar","doente","capacidade","aos","sublinhar","idoso","fim","manter","avançar","educação","amar","docente","contacto"
"16","sala","cidade","milhões","voar","nunes","mês","fábricas","medido","deverá","federal","conselheiro","responsável","descarregar","chinês","incluir","asiático","pdf","importado","cidade","liaoning","província","cidade","austrália","infecções","país","diagnosticado","semana","paciente","autoridade","caso","sudeste","centrar","qual","confederação","presidencial","renovar","conselho","marcelo","cds","ps","sousa","portuguãªs","parlamentar","eleitor","encerramento","deputado","criação","estar","responsabilidade","infarmed","aprender","deputar","estar","actividade","pagamento","âmbito","conselho","política","sousa","ps","tão","participar","cursar","ligar","aprendizagem","terços","dificuldade","vagar","menos","miguel","produção","propor","porque","cercar","todo","este","escolar","educação","individual","saúde"
"17","empresar","companhia","principal","fornecimento","patients","dólares","viagem","picar","economia","indústria","ler","nicolas","link","identificar","capital","capital","cidade","país","medida","vitória","liaoning","zelândia","comissão","desde","informar","autoridade","novo","receber","receber","activar","receber","gravar","interior","assembleia","aprovar","âmbito","contratação","deputar","económicos","estar","lugar","próxima","rebelar","costa","estar","apoio","nacional","carmo","estatuto","reunião","emmanuel","reabertura","abertura","rebelar","medida","renovação","joão","sousa","presidente","fim","sousa","fundamental","portavoz","parque","evitar","sentir","râguebi","progredir","humano","regional","joão","região","hospital","depois","regressar","infectado","norma","acção","aglomerado","acompanhamento"
"18","procurar","transportar","jogar","publicação","impressor","mercar","mês","começaram","medido","turismo","britânico","ano","recebao","últimos","confinamento","daqui","fronteirar","últimas","região","de","capital","melbourne","de","pelar","em","local","gravar","país","mortalidade","nordeste","paciente","comissão","diagnosticado","audiência","sousa","admitir","civil","andré","fiscalização","não","beber","pandemia","renovar","liberdade","parlamentar","pan","república","precisar","estar","páscoa","escola","parlamentar","importância","silvar","créditos","individual","planar","vítimas","situação","primeiroministro","noite","portugal","eua","governar","problema","deixar","de","unidade","profissional","unidade","intensivo","especialista","depois","espanhol","evolução","aluno","próximo","professor","ciclo","ómicron"
"19","coronavírus","aqui","tráfego","coronavírus","cortar","gás","mãªs","ao","maio","maior","reinar","semana","tráfego","riscar","parcial","mãªs","comissão","viajante","australiano","importado","país","xinjiang","setembro","cidade","foco","nacional","asiático","novo","capacidade","infecções","alto","sudeste","extremar","presidencial","ps","governar","parar","rebelar","psd","medida","até","presidente","querer","deputado","medida","cdspp","presidente","rebelar","deputado","andré","primeiroministro","decretar","actual","governar","marcelo","costa","pcp","que","fronteira","lei","adepto","abril","um","temporária","um","contacto","serviço","terçafeira","acompanhamento","que","junho","vacinal","adequado","organização","segundafeira","contacto","numa","ano","distanciamento","chegar"
"20","semana","procurar","lisboa","venda","voo","pôr","fábrica","preços","representar","grupar","johnson","relação","epidemiologista","ásia","matadouro","número","assinar","cidade","voo","exterior","aumentar","infecções","chinãªs","país","zelândia","alto","pessoa","diagnosticado","populoso","fixar","comissão","consecutivo","anunciar","parceiro","determinado","asae","sousa","reunião","viver","defender","existir","cds","eleitoral","poder","silvar","inscrever","ferrar","propor","europeu","parlamentar","olhar","costa","comer","presidente","avançar","estabelecer","pan","defender","conselho","economia","alegria","plano","reunião","sanitária","terra","crise","sns","medicinar","portar","jorge","precisar","hospital","criticar","positivar","menor","implementado","mudar","protecção","testagem","agrupamento"
"21","covid","operação","escalar","mensagem","opep","juro","primeiro","trimestre","declaração","mobilidade","aqui","um","pdf","alimento","reprodução","estará","galar","desde","centena","oriundo","região","estar","sul","estar","capital","maio","considerar","sul","durante","paciente","cidade","diagnosticar","cidade","muito","aquele","civil","pandemia","venturo","votar","campanha","apoiar","parlamentar","assembleia","social","eleitoral","decretar","doméstica","epidemiologista","confinamento","deputado","planar","renovação","propor","pcp","teletrabalho","condições","venturo","aprovar","manter","executivo","antónio","mantêm","necessidade","evento","distanciamento","qualquer","alternativo","ciência","situações","ocupação","alterações","longo","isolado","todo","da","internacional","recomendado","todo","lectivo","encerrar"
"22","loja","redução","ofertar","pleno","doar","das","forte","voo","restrições","prevê","mais","maio","valor","novo","gütersloh","análise","australiano","oriundo","diagnosticar","diagnosticado","registar","contágio","hora","total","pelar","oriundo","israel","sem","victoria","propor","qingdao","activar","contágio","portugal","contra","proibir","pelar","regra","portavoz","crime","suécia","partido","reunião","não","psd","sousa","favor","perito","acompanhamento","governar","assumir","medida","josé","partido","propor","económica","decretar","massa","não","galiza","fim","especialista","mensagem","ministrar","epidemiologista","actividade","natural","últimos","respostar","região","quando","miguel","letalidade","joão","gravar","ligar","idade","mariano","medida","externar"
