"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"24","chief","chief","outbreak","situation","cluster","need","ghebreyesus","need","scott","stop","response","warn","president","country","accusation","virus","us","ramaphosa","hold","protest","authority","million","european","meat","local","treasury","mnuchin","speaker","fund","right","postal","package","fund","american","basis","late","week","want","mexico","lack","thing","double","aide","pressure","economy","share","business","antarctica","wall","georgia","soon","strict","postpone","sport","day","due","speech","new","present","age","restriction","see","technology","event","recommendation","prevention","approval","schedule","korea","authorization","year","kind","day","england","among","trouble","rhode","reverse","without"
"25","medical","issue","add","director","response","continent","prime","european","measure","note","calderwood","know","consequence","comment","import","official","international","wuhan","americas","distance","neighborhood","german","sturgeon","taxi","adhanom","loan","enhancement","want","pay","re","operation","gop","try","another","last","something","stand","kick","reach","loss","report","professor","open","even","make","alex","support","hh","nasdaq","forward","way","event","music","member","go","capacity","attend","governor","scotland","message","late","around","myanmar","type","practice","friday","next","disease","additional","dose","education","product","among","ensure","majority","rochelle","institute","campus","indoor"
"26","authority","province","control","equipment","assessment","dr","directorgeneral","future","sydney","peter","warn","origin","fight","region","administration","nation","virus","handle","difficult","country","seafood","north","novel","nation","directorgeneral","next","federal","payroll","congress","proposal","benefit","topline","unemployment","majority","loss","video","continue","divide","deal","new","necessary","tough","democrat","student","labor","ago","ensure","nasdaq","sp","economic","research","olympic","zealands","fine","village","read","secure","continue","serious","andy","claim","thing","obama","cdc","friday","disease","information","old","safety","coronavirus","approval","offit","confidence","future","feel","people","move","person","return"
"27","facility","christmas","ebola","send","can","outbreak","around","case","isolate","especially","pompeo","emmanuel","virus","control","outbreak","bangladesh","threaten","trade","delay","australia","epidemiologist","link","plant","tool","ghebreyesus","piece","just","negotiator","sign","scholarship","service","meadow","claim","phone","remain","money","order","file","amtrak","rise","important","schedule","benefit","rise","nasdaq","offer","direct","child","shorten","production","old","test","date","star","organizer","open","job","monday","critical","pace","spokeswoman","part","conversation","mark","administration","control","eua","cdc","potential","adolescent","follow","biological","john","group","note","implement","statement","everyone","desantis"
"28","ministry","secretary","news","uk","directorgeneral","strategy","actress","ghebreyesus","gate","council","canada","scrutiny","truth","scientist","eu","wuhan","fight","fund","four","geneva","world","authority","adhanom","health","investigation","round","fund","mark","state","week","billion","bill","democratic","bipartisan","government","location","help","unemployment","high","week","anyone","relate","gop","look","adjust","include","october","file","song","top","dr","game","police","crow","league","four","dead","dr","message","restrict","television","call","participant","unite","johnsons","among","week","emergency","coronavirus","recommend","booster","currently","charge","though","require","director","arkansas","visitor","child"
"29","sunday","update","geneva","mask","executive","ready","say","ursula","prime","act","challenge","canadian","trudeau","america","unite","coordinate","jinping","learn","gradually","speech","zunyou","beijings","ghebreyesus","phone","kongs","secretary","mitch","tax","call","relief","vote","pandemic","government","gop","action","express","house","high","bell","measure","public","quarter","jobless","close","whitmer","october","priority","personnel","due","still","get","sleep","kong","kong","champion","six","park","assess","four","loss","didnt","attempt","week","committee","fda","case","federal","center","old","study","access","dr","authorization","rely","spike","mitigation","status","teacher","state"
"30","officer","appropriate","initiative","scenario","press","rate","current","commission","european","economy","debt","us","independent","virus","theory","eu","adhanom","conduct","host","un","wu","nhc","virus","korea","previously","negotiator","speaker","nancy","meet","pay","pass","stimulus","expect","money","pass","territory","afternoon","spend","unfortunately","dc","note","rest","blunt","positive","rio","government","vaccine","meanwhile","back","spread","us","festival","zealand","staff","tennis","authority","reaction","connect","recommendation","file","mexicos","institution","poor","severe","center","agency","jj","vote","expect","possible","company","moderna","worth","representative","dose","distance","without","carolina","bus"
"31","canada","passport","sunday","can","china","ability","mare","test","every","meet","action","europe","stifle","bat","share","push","ghebreyesus","announcement","complete","meeting","sample","asymptomatic","war","southwest","wave","leader","package","treasury","need","talk","need","talk","good","federal","year","believe","assistance","along","projection","singapore","take","british","rep","dow","program","march","struggle","bill","trade","dow","type","star","february","last","leave","beijing","personal","dead","last","hard","afternoon","wash","personal","woman","control","plan","clinical","kid","evaluation","committee","currently","pandemic","discuss","foundation","need","adult","tell","note","governor"
"32","embassy","protective","response","executive","impact","spread","ryan","million","justin","european","essential","leader","opportunity","poor","secretary","piece","rd","brazil","europe","ghebreyesus","fresh","tedros","positive","authority","locally","school","next","chuck","pelosi","action","employee","request","scale","museum","worker","sale","jerome","yet","maskwearing","surgical","face","political","tweet","newspaper","religious","department","healths","work","grant","composite","wall","two","cancel","thursday","uefa","connect","volume","deploy","require","serious","approach","society","nine","disease","six","know","woman","acip","pfizerbiontechs","receive","shoot","result","border","pause","american","recommend","recommendation","state","college"
"33","set","office","disease","joint","management","mortality","epidemiologist","directorgeneral","refugee","unprecedented","elizabeth","global","medium","ghebreyesus","stockpile","blame","directorgeneral","health","confirm","adhanom","countrys","germanys","chinese","wave","tool","democrat","check","executive","want","agreement","agree","possible","tax","interview","situation","basis","trump","economic","behavior","earnings","news","pfizer","worry","investor","congress","open","powell","current","pilot","corp","nebraska","leave","isolation","tour","tie","behind","final","john","quarantine","announce","people","medicare","ongoing","director","discuss","advisory","require","authorize","clinical","now","already","relate","food","asylum","disease","age","release","pediatrics","will"
