"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","go","mask","video","expulsion","event","event","league","event","olympic","tokyo","vote","election","kong","game","kong","league","cyclone","league","kong","season","player","student","student","student","league","prison","player","player","football","game","player","player","player","athlete","football","game","positive","game","game","game","player","player","game","game","game","giuliani","president","test","letlow","city","mayor","city","york","york","school","school","york","city","teacher","school","school","school","school","student","surface","student","school","school","school","school","city","city","cuomo","home","ahead","guidance","pernell","school","school"
"2","one","fehrenbacher","chen","journal","olympic","game","game","olympic","game","committee","election","vote","hong","tokyo","hong","season","league","team","hong","fair","league","campus","player","test","player","inmate","season","season","sport","team","league","positive","play","football","de","player","jenkins","oct","football","mask","team","test","postpone","player","team","trump","quarantine","statement","fraud","mayor","york","de","cuomo","city","york","york","city","school","school","foot","student","student","person","school","campus","school","student","student","student","student","de","york","immediately","authority","board","wear","travel","mask","mask"
"3","get","get","friend","wall","game","festival","event","postpone","postpone","player","team","voter","sentence","town","dalai","game","player","hall","student","festival","season","player","league","player","test","quarantine","game","positive","player","play","test","league","football","game","will","titan","player","positive","test","dodger","game","positive","cancel","cancel","player","feel","french","base","diagnose","site","site","york","city","indoor","student","cuomo","governor","mayor","plan","distance","person","leader","student","guest","clean","college","university","person","teacher","district","blasio","cuomo","protocol","medicaid","system","outbreak","city","student","student"
"4","mask","social","north","street","tokyo","tokyo","player","player","tokyo","game","wisconsin","event","event","kid","lama","baseball","town","watch","season","hong","football","season","test","league","sport","staff","play","test","season","season","team","travel","begin","league","conference","team","team","player","player","los","home","game","football","military","nfl","rudy","penny","chilean","post","brooklyn","city","blasio","de","appointment","governor","gov","new","news","nashville","student","learn","letter","learn","person","student","pakistan","sharma","cardona","incidence","de","york","new","vaccination","early","confident","recommend","weekend","recommend","district"
"5","say","street","tell","reporter","fashion","sport","tournament","game","athlete","play","league","postpone","postpone","street","pandemic","sport","hall","premier","board","post","positive","will","positive","team","student","fan","schedule","team","postpone","player","positive","team","screening","conference","year","kelly","south","announce","play","angeles","mask","football","positive","team","police","sunday","test","positive","die","call","de","mayor","school","new","cuomo","learn","back","staff","staff","teacher","education","homeless","open","college","university","lama","officer","high","require","blasio","mayor","monday","new","say","condition","staff","wear","require","mandate"
"6","cnn","go","ripley","kerby","ash","olympic","cancel","cancel","committee","election","court","cohen","olympic","olympic","race","watch","watch","player","police","league","test","semester","team","positive","team","facility","league","sport","fall","football","football","test","game","will","season","positive","due","florida","series","turner","football","team","test","move","nba","ohio","macron","quarantine","illegal","award","stadium","cuomo","mayor","gov","gov","governor","gov","teacher","gov","six","reopen","pandemic","attend","education","system","fund","passport","return","mask","campus","new","blasio","site","public","good","physical","mask","city","county"
"7","can","medium","get","opinion","carnival","town","season","court","postponement","postpone","mail","trial","year","mask","hall","town","premier","town","play","july","team","college","season","tournament","positive","bureau","team","league","team","postpone","practice","de","tennis","return","release","event","dame","team","club","celebrate","bronco","community","player","son","season","positive","positive","office","treatment","cuomo","cuomo","new","new","school","city","back","mayor","york","march","apart","cardona","parent","staff","grade","uc","air","learn","district","use","learn","school","firework","californians","association","point","strategy","citys","county","require"
"8","many","spend","chens","foreign","church","cancel","postpone","schedule","cancel","event","postpone","court","court","child","japanese","hall","amphan","season","organizer","player","game","fall","school","season","district","test","marlin","fall","play","fan","quarantine","athletic","open","season","team","league","jury","football","positive","wear","positive","cancel","texas","personnel","fan","attorney","trump","contact","remove","french","owner","economy","blasio","teacher","classroom","return","eligible","kemp","dose","physical","address","reopen","fulltime","puerto","transmission","person","personnel","dose","district","virtual","positivity","mayor","positivity","extend","year","people","close","district","wear"
"9","see","thing","cnns","video","committee","postpone","sport","team","event","league","club","mail","cancel","hong","sport","player","bangladesh","henson","race","event","studentathletes","school","campus","campus","season","symptom","test","schedule","college","league","york","football","mayor","play","event","south","facility","schedule","university","team","test","comply","bell","operation","play","test","house","european","license","diagnose","blasio","michigan","indoor","capacity","return","appointment","de","whitmer","eligible","study","class","soon","campus","learn","department","quality","air","since","bill","program","bill","school","leave","leave","hard","distance","resume","governor","indoor"
"10","video","like","cabin","journalist","italian","due","team","season","summer","club","player","turnout","protest","court","court","ceremony","storm","game","sit","race","student","statement","facility","staff","school","employee","sport","game","conference","college","fan","postpone","passenger","ten","game","test","quarantine","fan","league","series","wear","schedule","team","schedule","list","source","sister","staff","vs","hub","garcetti","grow","governor","governor","mayor","auckland","stone","now","city","tournament","safely","fall","respondent","tuesday","disinfect","dalai","ago","reopen","crow","option","statistic","de","thank","save","pay","facility","implement","mandate","status"
