"","2020-01-31","2020-02-07","2020-02-14","2020-02-20","2020-02-28","2020-03-06","2020-03-13","2020-03-19","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-24","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-12","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-17","2020-12-24","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-06","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-10","2021-06-17","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-09-29","2021-10-08","2021-10-15","2021-10-22","2021-10-27","2021-11-05","2021-11-12","2021-11-19","2021-11-25","2021-12-03","2021-12-10","2021-12-11"
"28","two","video","outbreak","saturday","million","body","mass","implement","medicine","recommend","gather","victory","japanese","map","popular","gather","force","limit","face","fine","demonstrator","haunt","similar","cant","strict","refuse","good","flout","spokesman","bear","germany","mass","business","water","drink","positive","andrew","infection","paris","ban","france","strict","outdoor","nationwide","lift","season","spread","friday","interior","germany","economic","remain","countrys","germany","shut","land","contagious","close","republic","curfew","french","province","business","space","also","area","activity","lift","nonessential","island","authority","foreign","add","add","citizen","incidence","board","night","spain","spain","rapid","curfew","industry","night","many","closure","indian","department","former","union","long","general","condition","accelerate","chancellor","associate","lockdown","wave","still"
"29","work","wuhan","build","break","shortly","large","around","association","minister","quick","return","putin","long","nationwide","guard","state","round","power","smoke","peaceful","weather","ban","crowd","attempt","regional","hygiene","film","win","hygiene","property","shop","movement","new","chancellor","currently","conference","pm","berlin","urge","gym","partial","week","infection","infection","nonessential","wave","household","will","sale","merkel","prison","japanese","germany","police","chancellor","lift","gathering","republic","variant","warn","wave","region","curb","zoo","conference","since","measure","june","hotel","ban","summer","minister","visitor","flight","portugal","visitor","industry","british","greece","citizen","shortage","requirement","company","upon","break","pilot","school","price","january","green","ministry","public","measure","face","vaccinate","call","jab","dutch","allow"
"30","bed","another","restaurant","director","almost","include","many","position","just","ferry","level","indicate","wear","public","enforce","release","parliament","social","people","antiracism","largescale","large","county","maintain","issue","criticise","development","dine","supermarket","require","angela","german","quickly","season","de","andrew","past","situation","public","impose","red","hospital","tuesday","wear","italy","resort","government","event","officer","strict","area","early","open","region","athens","open","march","place","campaign","tokyo","attal","paris","long","allow","wave","may","capacity","announce","require","restaurant","industry","flight","ease","border","popular","holiday","airport","free","negative","keep","hotel","london","return","relax","return","release","rule","leave","senior","opportunity","really","evidence","festival","televise","state","lockdown","bad","price","sure"
"31","afp","trial","back","medium","flu","event","religious","church","billy","trudeau","traffic","association","food","right","park","flout","religious","parliament","centre","town","climate","along","leader","feel","gove","rule","show","worry","reuters","area","merkel","design","hit","step","alert","number","action","wednesday","impose","town","italys","red","wave","wave","france","indoor","wave","nonessential","shut","christmas","spain","situation","contagious","shut","emirate","tourism","government","draft","due","wave","curb","movement","since","order","situation","emergency","ahead","greek","border","test","free","amber","port","country","balearic","allow","change","indian","british","fully","family","visitor","staff","zoom","open","among","uk","executive","highly","previously","ill","receive","jens","tackle","access","place","norwegian","important","long"
"32","footage","resident","holiday","four","year","people","hospital","like","elective","exercise","officer","agency","turn","people","law","order","distance","prompt","anger","attend","racial","stage","thousand","chance","court","space","recommend","can","indoor","swim","public","restaurant","de","distance","bar","impose","maximum","school","saturday","home","mitsotakis","weekend","travel","impose","travel","must","gathering","raise","movement","due","greece","ease","greece","protest","close","tyrol","merkel","rule","open","island","home","strict","wave","infection","people","summer","approach","european","permit","traveller","final","vaccinate","abroad","visit","fully","must","canada","red","enter","minister","action","kongs","service","hospitality","chain","half","picture","test","case","visitor","believe","place","dominant","parliament","tell","robert","note","vaccinate","confinement"
"33","report","police","report","appear","start","ability","mask","drug","business","cough","travel","state","russia","incident","mean","distance","people","among","life","supreme","sydney","bangladesh","open","complacency","guidance","watch","lockdown","never","social","food","fine","free","curfew","new","situation","similar","people","close","pm","must","museum","resident","average","place","social","holiday","december","introduce","sea","february","robert","curb","cafe","week","march","march","high","remain","place","ease","open","week","bar","area","ease","drop","sport","end","long","quarantine","restriction","test","ryanair","member","foreign","foreign","add","special","upon","abroad","tourist","price","review","eus","decrease","focus","hand","possible","know","member","difficult","protect","risk","th","dramatic","per","jones","people","record"
"34","put","million","normal","infect","deal","suggest","sense","much","friend","dangerous","ignore","advice","prime","road","different","mayor","visit","activist","mosque","violence","user","hold","sinn","ireland","like","footage","ban","court","sexual","little","french","january","distance","holiday","government","outside","open","contain","place","wednesday","nonessential","spread","wednesday","france","measure","curfew","new","country","new","infection","season","consider","protester","spread","case","strict","surge","prime","meet","attal","rise","national","extend","limit","zone","nonessential","nonessential","industry","announce","english","spain","border","eu","enter","need","avoid","european","come","flight","hub","arrive","fresh","overseas","household","authority","allow","house","ministry","situation","president","absolutely","fund","vaccination","soar","cancel","highly","become","europe","everyone"
"35","lockdown","eight","lunar","now","face","west","event","part","advice","ask","president","canadas","grocery","allow","emergency","lagos","holy","turkish","california","blacklivesmatteraustralia","local","really","sense","walk","friday","seat","job","close","zone","transport","autumn","salon","limit","resignation","indoor","free","negative","lockdown","patient","include","lombardy","italian","impose","capacity","reopen","high","centre","region","record","restrict","advise","pm","bulgaria","open","anyone","distance","minister","situation","now","japan","enter","nationwide","list","government","retailer","curfew","canadas","indoor","limit","july","shut","industry","afp","europe","wednesday","summer","french","uk","prove","variant","competition","sharply","trade","customer","survey","sign","liz","currently","refuse","tokyo","claim","death","researcher","cancel","incidence","angela","care","march","shorten"
"36","room","demand","run","bed","social","supply","much","want","identify","manage","allow","seriously","sq","power","similar","force","afp","mayor","event","victoria","victoria","people","space","really","home","reproduction","feel","big","france","french","chancellor","capacity","owner","austria","stage","mayor","federal","merkel","contain","source","nighttime","new","friday","venue","outdoor","market","situation","school","nonessential","economic","bar","begin","africa","ontario","daily","greece","province","merkel","tell","without","spanish","announce","open","impose","retail","household","outdoor","france","greek","final","introduce","restriction","place","chancellor","entry","recovery","municipality","party","allow","overseas","government","quarter","visitor","will","outlet","furlough","tweet","prime","distance","chain","say","identify","european","step","due","germanys","japan","curb","book"
"37","construction","manufacture","medium","hand","provide","year","immediate","contact","rail","park","seek","cancel","man","flout","require","religious","hold","debate","gathering","light","organiser","instead","celebrate","happy","individual","three","prevent","development","recommend","leave","restriction","build","autumn","boat","approach","outdoor","lockdown","spring","health","school","government","intensive","open","travel","wave","numb","rise","rule","christmas","request","death","february","german","monday","resort","infection","tighten","slovakia","new","great","social","le","month","early","end","midmarch","supreme","business","traveller","pass","portugal","delhi","cruise","furlough","economy","company","vaccination","entry","pingdemic","sector","spend","strongly","sell","appointment","visitor","lose","£bn","isolation","current","argentina","new","television","minister","europes","place","countrys","designate","restriction","weekend"
